Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.0132	15.51	5.00e+006	0.997	-3.353	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.0132	15.67	5.00e+006	0.997	-3.353	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.0132	14.56	5.00e+006	0.997	-3.353	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.0132	17.80	5.00e+005	0.997	-3.353	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.0132	18.82	5.00e+005	0.997	-3.353	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.0132	18.20	5.00e+005	0.997	-3.353	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.0132	21.78	5.00e+004	0.997	-3.353	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.0132	22.58	5.00e+004	0.997	-3.353	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.0132	21.48	5.00e+004	0.997	-3.353	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.0132	25.60	5.00e+003	0.997	-3.353	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.0132	25.06	5.00e+003	0.997	-3.353	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.0132	24.64	5.00e+003	0.997	-3.353	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.0132	28.35	5.00e+002	0.997	-3.353	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.0132	28.72	5.00e+002	0.997	-3.353	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.0132	28.41	5.00e+002	0.997	-3.353	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.0132	32.02	5.00e+001	0.997	-3.353	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.0132	31.55	5.00e+001	0.997	-3.353	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.0132	32.04	5.00e+001	0.997	-3.353	
