Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.0094	16.86	5.00e+006	0.995	-3.442	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.0094	16.99	5.00e+006	0.995	-3.442	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.0094	17.00	5.00e+006	0.995	-3.442	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.0094	21.38	5.00e+005	0.995	-3.442	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.0094	19.89	5.00e+005	0.995	-3.442	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.0094	21.11	5.00e+005	0.995	-3.442	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.0094	23.66	5.00e+004	0.995	-3.442	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.0094	23.86	5.00e+004	0.995	-3.442	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.0094	23.98	5.00e+004	0.995	-3.442	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.0094	26.86	5.00e+003	0.995	-3.442	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.0094	26.77	5.00e+003	0.995	-3.442	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.0094	27.42	5.00e+003	0.995	-3.442	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.0094	30.62	5.00e+002	0.995	-3.442	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.0094	30.83	5.00e+002	0.995	-3.442	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.0094	30.67	5.00e+002	0.995	-3.442	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.0094	34.93	5.00e+001	0.995	-3.442	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.0094	34.00	5.00e+001	0.995	-3.442	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.0094	34.18	5.00e+001	0.995	-3.442	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.0094	38.25	5.00e+000	0.995	-3.442	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.0094	38.41	5.00e+000	0.995	-3.442	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.0094	36.52	5.00e+000	0.995	-3.442	
H1	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.0094	No Ct	No Ct	0.995	-3.442	
H2	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.0094	No Ct	No Ct	0.995	-3.442	
H3	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.0094	No Ct	No Ct	0.995	-3.442	
A4	09_MST003_5uL_  Qty or ID	Unknown	9	0.0094	No Ct	No Ct	0.995	-3.442	
A5	09_MST003_5uL_  Qty or ID	Unknown	9	0.0094	No Ct	No Ct	0.995	-3.442	
A6	09_MST003_5uL_  Qty or ID	Unknown	9	0.0094	No Ct	No Ct	0.995	-3.442	
B4	10_MST012_5uL_  Qty or ID	Unknown	10	0.0094	No Ct	No Ct	0.995	-3.442	
B5	10_MST012_5uL_  Qty or ID	Unknown	10	0.0094	No Ct	No Ct	0.995	-3.442	
B6	10_MST012_5uL_  Qty or ID	Unknown	10	0.0094	No Ct	No Ct	0.995	-3.442	
C4	11_MST019_5uL_  Qty or ID	Unknown	11	0.0094	35.26	2.495e+001	0.995	-3.442	
C5	11_MST019_5uL_  Qty or ID	Unknown	11	0.0094	34.77	3.467e+001	0.995	-3.442	
C6	11_MST019_5uL_  Qty or ID	Unknown	11	0.0094	35.15	2.686e+001	0.995	-3.442	
D4	12_MST029_5uL_  Qty or ID	Unknown	12	0.0094	34.88	3.221e+001	0.995	-3.442	
D5	12_MST029_5uL_  Qty or ID	Unknown	12	0.0094	35.85	1.689e+001	0.995	-3.442	
D6	12_MST029_5uL_  Qty or ID	Unknown	12	0.0094	35.37	2.318e+001	0.995	-3.442	
E4	13_MST032_5uL_  Qty or ID	Unknown	13	0.0094	36.74	9.27	0.995	-3.442	
E5	13_MST032_5uL_  Qty or ID	Unknown	13	0.0094	37.72	4.83	0.995	-3.442	
E6	13_MST032_5uL_  Qty or ID	Unknown	13	0.0094	36.26	1.281e+001	0.995	-3.442	
F4	14_MST041_5uL_  Qty or ID	Unknown	14	0.0094	No Ct	No Ct	0.995	-3.442	
F5	14_MST041_5uL_  Qty or ID	Unknown	14	0.0094	No Ct	No Ct	0.995	-3.442	
F6	14_MST041_5uL_  Qty or ID	Unknown	14	0.0094	No Ct	No Ct	0.995	-3.442	
G4	15_MST046_5uL_  Qty or ID	Unknown	15	0.0094	No Ct	No Ct	0.995	-3.442	
G5	15_MST046_5uL_  Qty or ID	Unknown	15	0.0094	39.23	1.75	0.995	-3.442	
G6	15_MST046_5uL_  Qty or ID	Unknown	15	0.0094	No Ct	No Ct	0.995	-3.442	
H4	16_MST048_5uL_  Qty or ID	Unknown	16	0.0094	36.58	1.036e+001	0.995	-3.442	
H5	16_MST048_5uL_  Qty or ID	Unknown	16	0.0094	37.32	6.29	0.995	-3.442	
H6	16_MST048_5uL_  Qty or ID	Unknown	16	0.0094	37.53	5.47	0.995	-3.442	
A7	17_MST050_5uL_  Qty or ID	Unknown	17	0.0094	No Ct	No Ct	0.995	-3.442	
A8	17_MST050_5uL_  Qty or ID	Unknown	17	0.0094	No Ct	No Ct	0.995	-3.442	
A9	17_MST050_5uL_  Qty or ID	Unknown	17	0.0094	No Ct	No Ct	0.995	-3.442	
B7	18_MST055_5uL_  Qty or ID	Unknown	18	0.0094	No Ct	No Ct	0.995	-3.442	
B8	18_MST055_5uL_  Qty or ID	Unknown	18	0.0094	No Ct	No Ct	0.995	-3.442	
B9	18_MST055_5uL_  Qty or ID	Unknown	18	0.0094	No Ct	No Ct	0.995	-3.442	
C7	19_MST064_5uL_  Qty or ID	Unknown	19	0.0094	No Ct	No Ct	0.995	-3.442	
C8	19_MST064_5uL_  Qty or ID	Unknown	19	0.0094	No Ct	No Ct	0.995	-3.442	
C9	19_MST064_5uL_  Qty or ID	Unknown	19	0.0094	No Ct	No Ct	0.995	-3.442	
D7	20_MST067_5uL_  Qty or ID	Unknown	20	0.0094	38.40	3.06	0.995	-3.442	
D8	20_MST067_5uL_  Qty or ID	Unknown	20	0.0094	37.71	4.86	0.995	-3.442	
D9	20_MST067_5uL_  Qty or ID	Unknown	20	0.0094	38.36	3.14	0.995	-3.442	
E7	21_MST097_5uL_  Qty or ID	Unknown	21	0.0094	No Ct	No Ct	0.995	-3.442	
E8	21_MST097_5uL_  Qty or ID	Unknown	21	0.0094	No Ct	No Ct	0.995	-3.442	
E9	21_MST097_5uL_  Qty or ID	Unknown	21	0.0094	No Ct	No Ct	0.995	-3.442	
F7	22_MST118_5uL_  Qty or ID	Unknown	22	0.0094	No Ct	No Ct	0.995	-3.442	
