Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.0409	14.85	5.00e+006	0.955	-4.172	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.0409	15.23	5.00e+006	0.955	-4.172	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.0409	15.17	5.00e+006	0.955	-4.172	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.0409	18.52	5.00e+005	0.955	-4.172	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.0409	18.80	5.00e+005	0.955	-4.172	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.0409	18.87	5.00e+005	0.955	-4.172	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.0409	22.33	5.00e+004	0.955	-4.172	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.0409	21.91	5.00e+004	0.955	-4.172	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.0409	23.38	5.00e+004	0.955	-4.172	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.0409	29.73	5.00e+003	0.955	-4.172	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.0409	26.26	5.00e+003	0.955	-4.172	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.0409	27.39	5.00e+003	0.955	-4.172	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.0409	35.76	5.00e+002	0.955	-4.172	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.0409	32.43	5.00e+002	0.955	-4.172	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.0409	No Ct	No Ct	0.955	-4.172	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.0409	No Ct	No Ct	0.955	-4.172	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.0409	33.37	5.00e+001	0.955	-4.172	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.0409	34.44	5.00e+001	0.955	-4.172	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.0409	No Ct	No Ct	0.955	-4.172	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.0409	No Ct	No Ct	0.955	-4.172	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.0409	No Ct	No Ct	0.955	-4.172	
H1	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.0409	No Ct	No Ct	0.955	-4.172	
H2	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.0409	No Ct	No Ct	0.955	-4.172	
H3	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.0409	No Ct	No Ct	0.955	-4.172	
A4	09_MST221_5uL_  Qty or ID	Unknown	9	0.0409	No Ct	No Ct	0.955	-4.172	
A5	09_MST221_5uL_  Qty or ID	Unknown	9	0.0409	No Ct	No Ct	0.955	-4.172	
A6	09_MST221_5uL_  Qty or ID	Unknown	9	0.0409	No Ct	No Ct	0.955	-4.172	
B4	10_MST227_5uL_  Qty or ID	Unknown	10	0.0409	No Ct	No Ct	0.955	-4.172	
B5	10_MST227_5uL_  Qty or ID	Unknown	10	0.0409	No Ct	No Ct	0.955	-4.172	
B6	10_MST227_5uL_  Qty or ID	Unknown	10	0.0409	No Ct	No Ct	0.955	-4.172	
C4	11_MST230_5uL_  Qty or ID	Unknown	11	0.0409	No Ct	No Ct	0.955	-4.172	
C5	11_MST230_5uL_  Qty or ID	Unknown	11	0.0409	No Ct	No Ct	0.955	-4.172	
C6	11_MST230_5uL_  Qty or ID	Unknown	11	0.0409	No Ct	No Ct	0.955	-4.172	
