Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	17.83	5.00e+006	0.934	-3.612	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	18.30	5.00e+006	0.934	-3.612	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	18.39	5.00e+006	0.934	-3.612	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	21.74	5.00e+005	0.934	-3.612	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	21.21	5.00e+005	0.934	-3.612	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	22.03	5.00e+005	0.934	-3.612	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	24.33	5.00e+004	0.934	-3.612	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	25.10	5.00e+004	0.934	-3.612	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	25.20	5.00e+004	0.934	-3.612	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	28.79	5.00e+003	0.934	-3.612	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	29.20	5.00e+003	0.934	-3.612	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	27.79	5.00e+003	0.934	-3.612	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	36.82	5.00e+002	0.934	-3.612	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	30.60	5.00e+002	0.934	-3.612	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	30.87	5.00e+002	0.934	-3.612	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.934	-3.612	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.934	-3.612	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.934	-3.612	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.934	-3.612	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.934	-3.612	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.934	-3.612	
H1	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.934	-3.612	
H2	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.934	-3.612	
H3	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.934	-3.612	
