Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	25.01	5.00e+006	0.941	-3.564	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	25.65	5.00e+006	0.941	-3.564	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	25.14	5.00e+006	0.941	-3.564	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	29.46	5.00e+005	0.941	-3.564	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	31.07	5.00e+005	0.941	-3.564	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	29.22	5.00e+005	0.941	-3.564	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	32.24	5.00e+004	0.941	-3.564	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	32.68	5.00e+004	0.941	-3.564	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	32.25	5.00e+004	0.941	-3.564	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	No Ct	No Ct	0.941	-3.564	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	No Ct	No Ct	0.941	-3.564	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	No Ct	No Ct	0.941	-3.564	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	No Ct	No Ct	0.941	-3.564	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	No Ct	No Ct	0.941	-3.564	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	No Ct	No Ct	0.941	-3.564	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.941	-3.564	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.941	-3.564	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.941	-3.564	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.941	-3.564	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.941	-3.564	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.941	-3.564	
H1	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.941	-3.564	
H2	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.941	-3.564	
H3	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.941	-3.564	
A4	09_MST221_5uL_  Qty or ID	Unknown	9	0.1000	No Ct	No Ct	0.941	-3.564	
A5	09_MST221_5uL_  Qty or ID	Unknown	9	0.1000	No Ct	No Ct	0.941	-3.564	
A6	09_MST221_5uL_  Qty or ID	Unknown	9	0.1000	No Ct	No Ct	0.941	-3.564	
B4	10_MST227_5uL_  Qty or ID	Unknown	10	0.1000	No Ct	No Ct	0.941	-3.564	
B5	10_MST227_5uL_  Qty or ID	Unknown	10	0.1000	No Ct	No Ct	0.941	-3.564	
B6	10_MST227_5uL_  Qty or ID	Unknown	10	0.1000	No Ct	No Ct	0.941	-3.564	
C4	11_MST230_5uL_  Qty or ID	Unknown	11	0.1000	No Ct	No Ct	0.941	-3.564	
C5	11_MST230_5uL_  Qty or ID	Unknown	11	0.1000	No Ct	No Ct	0.941	-3.564	
C6	11_MST230_5uL_  Qty or ID	Unknown	11	0.1000	No Ct	No Ct	0.941	-3.564	
D4	12_MST231_5uL_  Qty or ID	Unknown	12	0.1000	No Ct	No Ct	0.941	-3.564	
D5	12_MST231_5uL_  Qty or ID	Unknown	12	0.1000	No Ct	No Ct	0.941	-3.564	
D6	12_MST231_5uL_  Qty or ID	Unknown	12	0.1000	No Ct	No Ct	0.941	-3.564	
E4	13_MST244_5uL_  Qty or ID	Unknown	13	0.1000	No Ct	No Ct	0.941	-3.564	
E5	13_MST244_5uL_  Qty or ID	Unknown	13	0.1000	No Ct	No Ct	0.941	-3.564	
E6	13_MST244_5uL_  Qty or ID	Unknown	13	0.1000	No Ct	No Ct	0.941	-3.564	
F4	14_MST257_5uL_  Qty or ID	Unknown	14	0.1000	No Ct	No Ct	0.941	-3.564	
F5	14_MST257_5uL_  Qty or ID	Unknown	14	0.1000	No Ct	No Ct	0.941	-3.564	
F6	14_MST257_5uL_  Qty or ID	Unknown	14	0.1000	No Ct	No Ct	0.941	-3.564	
G4	15_MST280_5uL_  Qty or ID	Unknown	15	0.1000	No Ct	No Ct	0.941	-3.564	
G5	15_MST280_5uL_  Qty or ID	Unknown	15	0.1000	No Ct	No Ct	0.941	-3.564	
G6	15_MST280_5uL_  Qty or ID	Unknown	15	0.1000	No Ct	No Ct	0.941	-3.564	
H4	16_MST047_5uL_  Qty or ID	Unknown	16	0.1000	No Ct	No Ct	0.941	-3.564	
H5	16_MST047_5uL_  Qty or ID	Unknown	16	0.1000	No Ct	No Ct	0.941	-3.564	
H6	16_MST047_5uL_  Qty or ID	Unknown	16	0.1000	No Ct	No Ct	0.941	-3.564	
A7	17_MST059_5uL_  Qty or ID	Unknown	17	0.1000	No Ct	No Ct	0.941	-3.564	
A8	17_MST059_5uL_  Qty or ID	Unknown	17	0.1000	No Ct	No Ct	0.941	-3.564	
