Well;Well Name;Replicate;Well Type;Threshold (dRn);Ct (dRn);Quantity (copies);RSqdRn;Slope (dRn)
A01;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;22.7260882633453;300000;RSq (dRn);Slope (dRn)
A02;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;22.8238659613451;300000;RSq (dRn);Slope (dRn)
A03;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;22.5834461376925;300000;RSq (dRn);Slope (dRn)
A04;Unkn09_MST0182_3uL_Qty or ID;Unkn09;Unkn09;Treshold;32.3678747975554;400.520006034505;RSq (dRn);Slope (dRn)
A05;Unkn09_MST0182_3uL_Qty or ID;Unkn09;Unkn09;Treshold;32.4010785650943;390.197428729877;RSq (dRn);Slope (dRn)
A06;Unkn09_MST0182_3uL_Qty or ID;Unkn09;Unkn09;Treshold;31.9985010644331;535.517170476173;RSq (dRn);Slope (dRn)
A07;Unkn17_MST0414_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A08;Unkn17_MST0414_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A09;Unkn17_MST0414_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A10;Unkn25_MST0473_3uL_Qty or ID;Unkn25;Unkn25;Treshold;38.121086444983;4.34287123494688;RSq (dRn);Slope (dRn)
A11;Unkn25_MST0473_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A12;Unkn25_MST0473_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B01;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;26.2360285891465;30000;RSq (dRn);Slope (dRn)
B02;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;25.2013369216833;30000;RSq (dRn);Slope (dRn)
B03;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;30.2671362434435;30000;RSq (dRn);Slope (dRn)
B04;Unkn10_MST0476_3uL_Qty or ID;Unkn10;Unkn10;Treshold;22.3261631116896;1076682.79955321;RSq (dRn);Slope (dRn)
B05;Unkn10_MST0476_3uL_Qty or ID;Unkn10;Unkn10;Treshold;22.426584590235;994927.99216753;RSq (dRn);Slope (dRn)
B06;Unkn10_MST0476_3uL_Qty or ID;Unkn10;Unkn10;Treshold;23.3013988983779;500061.573380875;RSq (dRn);Slope (dRn)
B07;Unkn18_MST0187_3uL_Qty or ID;Unkn18;Unkn18;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B08;Unkn18_MST0187_3uL_Qty or ID;Unkn18;Unkn18;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B09;Unkn18_MST0187_3uL_Qty or ID;Unkn18;Unkn18;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B10;Unkn26_MST0144_3uL_Qty or ID;Unkn26;Unkn26;Treshold;33.324522540362;188.759207096011;RSq (dRn);Slope (dRn)
B11;Unkn26_MST0144_3uL_Qty or ID;Unkn26;Unkn26;Treshold;33.4337582695979;173.221486146665;RSq (dRn);Slope (dRn)
B12;Unkn26_MST0144_3uL_Qty or ID;Unkn26;Unkn26;Treshold;33.2798161381367;195.513322394889;RSq (dRn);Slope (dRn)
C01;Std03_std1E3_3uL_Qty or ID;Std03;Std03;Treshold;29.7204493497129;3000;RSq (dRn);Slope (dRn)
C02;Std03_std1E3_3uL_Qty or ID;Std03;Std03;Treshold;29.7353896956817;3000;RSq (dRn);Slope (dRn)
C03;Std03_std1E3_3uL_Qty or ID;Std03;Std03;Treshold;34.2043586481313;3000;RSq (dRn);Slope (dRn)
C04;Unkn11_MST0269_3uL_Qty or ID;Unkn11;Unkn11;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C05;Unkn11_MST0269_3uL_Qty or ID;Unkn11;Unkn11;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C06;Unkn11_MST0269_3uL_Qty or ID;Unkn11;Unkn11;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C07;Unkn19_MST0483_3uL_Qty or ID;Unkn19;Unkn19;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C08;Unkn19_MST0483_3uL_Qty or ID;Unkn19;Unkn19;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C09;Unkn19_MST0483_3uL_Qty or ID;Unkn19;Unkn19;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C10;Unkn27_MST0188_3uL_Qty or ID;Unkn27;Unkn27;Treshold;34.4285083194562;79.2269471733318;RSq (dRn);Slope (dRn)
C11;Unkn27_MST0188_3uL_Qty or ID;Unkn27;Unkn27;Treshold;34.7589487341848;61.0970600572858;RSq (dRn);Slope (dRn)
C12;Unkn27_MST0188_3uL_Qty or ID;Unkn27;Unkn27;Treshold;34.4874854451253;75.6364168971384;RSq (dRn);Slope (dRn)
D01;Std04_std1E2_3uL_Qty or ID;Std04;Std04;Treshold;33.590211494597;300;RSq (dRn);Slope (dRn)
D02;Std04_std1E2_3uL_Qty or ID;Std04;Std04;Treshold;33.8840036502466;300;RSq (dRn);Slope (dRn)
D03;Std04_std1E2_3uL_Qty or ID;Std04;Std04;Treshold;33.9347321969088;300;RSq (dRn);Slope (dRn)
D04;Unkn12_MST0158_3uL_Qty or ID;Unkn12;Unkn12;Treshold;28.963462412078;5825.12564754374;RSq (dRn);Slope (dRn)
D05;Unkn12_MST0158_3uL_Qty or ID;Unkn12;Unkn12;Treshold;29.5861079816772;3569.91811770684;RSq (dRn);Slope (dRn)
D06;Unkn12_MST0158_3uL_Qty or ID;Unkn12;Unkn12;Treshold;30.2898835835522;2052.59627677192;RSq (dRn);Slope (dRn)
D07;Unkn20_MST0170_3uL_Qty or ID;Unkn20;Unkn20;Treshold;38.0161977633514;4.71627071065665;RSq (dRn);Slope (dRn)
D08;Unkn20_MST0170_3uL_Qty or ID;Unkn20;Unkn20;Treshold;36.9235813830651;11.1365597200709;RSq (dRn);Slope (dRn)
D09;Unkn20_MST0170_3uL_Qty or ID;Unkn20;Unkn20;Treshold;38.9550628390159;2.25400992674238;RSq (dRn);Slope (dRn)
D10;Unkn28_MST0521_3uL_Qty or ID;Unkn28;Unkn28;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D11;Unkn28_MST0521_3uL_Qty or ID;Unkn28;Unkn28;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D12;Unkn28_MST0521_3uL_Qty or ID;Unkn28;Unkn28;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
E01;Std05_std1E1_3uL_Qty or ID;Std05;Std05;Treshold;30.2131117171705;30;RSq (dRn);Slope (dRn)
E02;Std05_std1E1_3uL_Qty or ID;Std05;Std05;Treshold;36.3256989764102;30;RSq (dRn);Slope (dRn)
E03;Std05_std1E1_3uL_Qty or ID;Std05;Std05;Treshold;NaN;30;RSq (dRn);Slope (dRn)
E04;Unkn13_MST0129_3uL_Qty or ID;Unkn13;Unkn13;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
E05;Unkn13_MST0129_3uL_Qty or ID;Unkn13;Unkn13;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
E06;Unkn13_MST0129_3uL_Qty or ID;Unkn13;Unkn13;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
E07;Unkn21_MST0173_3uL_Qty or ID;Unkn21;Unkn21;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
E08;Unkn21_MST0173_3uL_Qty or ID;Unkn21;Unkn21;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
E09;Unkn21_MST0173_3uL_Qty or ID;Unkn21;Unkn21;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
