Well;Well Name;Replicate;Well Type;Threshold (dRn);Ct (dRn);Quantity (copies);RSqdRn;Slope (dRn)
A01;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;19.0281776187993;300000;RSq (dRn);Slope (dRn)
A02;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;19.1906176274454;300000;RSq (dRn);Slope (dRn)
A03;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;19.1021641481328;300000;RSq (dRn);Slope (dRn)
A04;Unkn09_MST1023_3uL_Qty or ID;Unkn09;Unkn09;Treshold;33.5652651860516;21.5146964498267;RSq (dRn);Slope (dRn)
A05;Unkn09_MST1023_3uL_Qty or ID;Unkn09;Unkn09;Treshold;33.4527161733686;23.1663697332238;RSq (dRn);Slope (dRn)
A06;Unkn09_MST1023_3uL_Qty or ID;Unkn09;Unkn09;Treshold;33.6026401621758;20.9926846736109;RSq (dRn);Slope (dRn)
A07;Unkn17_MST147_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A08;Unkn17_MST147_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A09;Unkn17_MST147_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A10;Unkn25_NaN_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A11;Unkn25_NaN_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A12;Unkn25_NaN_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B01;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;22.409349710607;30000;RSq (dRn);Slope (dRn)
B02;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;22.4542385353283;30000;RSq (dRn);Slope (dRn)
B03;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;22.3870126239226;30000;RSq (dRn);Slope (dRn)
B04;Unkn10_MST082_3uL_Qty or ID;Unkn10;Unkn10;Treshold;25.5591342307082;4147.39586343369;RSq (dRn);Slope (dRn)
B05;Unkn10_MST082_3uL_Qty or ID;Unkn10;Unkn10;Treshold;25.4768232145441;4377.92164640106;RSq (dRn);Slope (dRn)
B06;Unkn10_MST082_3uL_Qty or ID;Unkn10;Unkn10;Treshold;25.4311694193957;4511.26245082305;RSq (dRn);Slope (dRn)
B07;Unkn18_MST452_3uL_Qty or ID;Unkn18;Unkn18;Treshold;32.2599627651767;50.732152309769;RSq (dRn);Slope (dRn)
B08;Unkn18_MST452_3uL_Qty or ID;Unkn18;Unkn18;Treshold;32.7879718241075;35.8577912156611;RSq (dRn);Slope (dRn)
