Well;Well Name;Replicate;Well Type;Threshold (dRn);Ct (dRn);Quantity (copies);RSqdRn;Slope (dRn)
A01;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;20.3839588945164;300000;RSq (dRn);Slope (dRn)
A02;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;20.3612690504446;300000;RSq (dRn);Slope (dRn)
A03;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;20.2444403487201;300000;RSq (dRn);Slope (dRn)
A04;Unkn09_MST510_3uL_Qty or ID;Unkn09;Unkn09;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A05;Unkn09_MST510_3uL_Qty or ID;Unkn09;Unkn09;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A06;Unkn09_MST510_3uL_Qty or ID;Unkn09;Unkn09;Treshold;41.358354293491;0.616421811115223;RSq (dRn);Slope (dRn)
A07;Unkn17_MST1010_3uL_Qty or ID;Unkn17;Unkn17;Treshold;42.3242282636768;0.338472521129721;RSq (dRn);Slope (dRn)
A08;Unkn17_MST1010_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A09;Unkn17_MST1010_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A10;Unkn25_MST547_3uL_Qty or ID;Unkn25;Unkn25;Treshold;40.211760901992;1.25587410718657;RSq (dRn);Slope (dRn)
A11;Unkn25_MST547_3uL_Qty or ID;Unkn25;Unkn25;Treshold;39.3825478517844;2.10118008669245;RSq (dRn);Slope (dRn)
A12;Unkn25_MST547_3uL_Qty or ID;Unkn25;Unkn25;Treshold;40.371577966778;1.13727862990628;RSq (dRn);Slope (dRn)
B01;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;23.8126287870243;30000;RSq (dRn);Slope (dRn)
B02;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;23.4837513034373;30000;RSq (dRn);Slope (dRn)
B03;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;24.174045385792;30000;RSq (dRn);Slope (dRn)
B04;Unkn10_MST385_3uL_Qty or ID;Unkn10;Unkn10;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B05;Unkn10_MST385_3uL_Qty or ID;Unkn10;Unkn10;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B06;Unkn10_MST385_3uL_Qty or ID;Unkn10;Unkn10;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B07;Unkn18_MST1013_3uL_Qty or ID;Unkn18;Unkn18;Treshold;29.5579501781027;934.795600228568;RSq (dRn);Slope (dRn)
B08;Unkn18_MST1013_3uL_Qty or ID;Unkn18;Unkn18;Treshold;29.6117762963566;904.08163689453;RSq (dRn);Slope (dRn)
B09;Unkn18_MST1013_3uL_Qty or ID;Unkn18;Unkn18;Treshold;29.5605466640472;933.290334455446;RSq (dRn);Slope (dRn)
B10;Unkn26_MST459_3uL_Qty or ID;Unkn26;Unkn26;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B11;Unkn26_MST459_3uL_Qty or ID;Unkn26;Unkn26;Treshold;42.2253004749543;0.359906536996801;RSq (dRn);Slope (dRn)
B12;Unkn26_MST459_3uL_Qty or ID;Unkn26;Unkn26;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C01;Std03_std1E3_3uL_Qty or ID;Std03;Std03;Treshold;27.5323220531528;3000;RSq (dRn);Slope (dRn)
C02;Std03_std1E3_3uL_Qty or ID;Std03;Std03;Treshold;27.5406096526702;3000;RSq (dRn);Slope (dRn)
C03;Std03_std1E3_3uL_Qty or ID;Std03;Std03;Treshold;27.410996290343;3000;RSq (dRn);Slope (dRn)
C04;Unkn11_MST267_3uL_Qty or ID;Unkn11;Unkn11;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C05;Unkn11_MST267_3uL_Qty or ID;Unkn11;Unkn11;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C06;Unkn11_MST267_3uL_Qty or ID;Unkn11;Unkn11;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C07;Unkn19_MST1002_3uL_Qty or ID;Unkn19;Unkn19;Treshold;33.0228217027953;108.830061245986;RSq (dRn);Slope (dRn)
C08;Unkn19_MST1002_3uL_Qty or ID;Unkn19;Unkn19;Treshold;33.2109215445782;96.8380259808259;RSq (dRn);Slope (dRn)
C09;Unkn19_MST1002_3uL_Qty or ID;Unkn19;Unkn19;Treshold;32.861336268992;120.303376317998;RSq (dRn);Slope (dRn)
C10;Unkn27_MST406_3uL_Qty or ID;Unkn27;Unkn27;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C11;Unkn27_MST406_3uL_Qty or ID;Unkn27;Unkn27;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C12;Unkn27_MST406_3uL_Qty or ID;Unkn27;Unkn27;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D01;Std04_std1E2_3uL_Qty or ID;Std04;Std04;Treshold;31.3883662377646;300;RSq (dRn);Slope (dRn)
D02;Std04_std1E2_3uL_Qty or ID;Std04;Std04;Treshold;31.4254906007971;300;RSq (dRn);Slope (dRn)
D03;Std04_std1E2_3uL_Qty or ID;Std04;Std04;Treshold;31.6077151982278;300;RSq (dRn);Slope (dRn)
D04;Unkn12_MST350_3uL_Qty or ID;Unkn12;Unkn12;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D05;Unkn12_MST350_3uL_Qty or ID;Unkn12;Unkn12;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D06;Unkn12_MST350_3uL_Qty or ID;Unkn12;Unkn12;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D07;Unkn20_MST1051_3uL_Qty or ID;Unkn20;Unkn20;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D08;Unkn20_MST1051_3uL_Qty or ID;Unkn20;Unkn20;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D09;Unkn20_MST1051_3uL_Qty or ID;Unkn20;Unkn20;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D10;Unkn28_MST439_3uL_Qty or ID;Unkn28;Unkn28;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D11;Unkn28_MST439_3uL_Qty or ID;Unkn28;Unkn28;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D12;Unkn28_MST439_3uL_Qty or ID;Unkn28;Unkn28;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
E01;Std05_std1E1_3uL_Qty or ID;Std05;Std05;Treshold;35.0035443319915;30;RSq (dRn);Slope (dRn)
E02;Std05_std1E1_3uL_Qty or ID;Std05;Std05;Treshold;35.6194793854994;30;RSq (dRn);Slope (dRn)
E03;Std05_std1E1_3uL_Qty or ID;Std05;Std05;Treshold;35.2640401020738;30;RSq (dRn);Slope (dRn)
E04;Unkn13_MST552_3uL_Qty or ID;Unkn13;Unkn13;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
E05;Unkn13_MST552_3uL_Qty or ID;Unkn13;Unkn13;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
E06;Unkn13_MST552_3uL_Qty or ID;Unkn13;Unkn13;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
