Well;Well Name;Replicate;Well Type;Threshold (dRn);Ct (dRn);Quantity (copies);RSqdRn;Slope (dRn)
A01;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;26.0743182949237;300000;RSq (dRn);Slope (dRn)
A02;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;26.0301999790658;300000;RSq (dRn);Slope (dRn)
A03;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;25.6619685123294;300000;RSq (dRn);Slope (dRn)
A04;Unkn09_MST1023_3uL_Qty or ID;Unkn09;Unkn09;Treshold;27.104369753265;126118.434141999;RSq (dRn);Slope (dRn)
A05;Unkn09_MST1023_3uL_Qty or ID;Unkn09;Unkn09;Treshold;27.1633064736688;121838.752285312;RSq (dRn);Slope (dRn)
A06;Unkn09_MST1023_3uL_Qty or ID;Unkn09;Unkn09;Treshold;26.9774318544712;135853.479086707;RSq (dRn);Slope (dRn)
A07;Unkn17_MST147_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A08;Unkn17_MST147_3uL_Qty or ID;Unkn17;Unkn17;Treshold;40.9074721561438;38.8469597025472;RSq (dRn);Slope (dRn)
A09;Unkn17_MST147_3uL_Qty or ID;Unkn17;Unkn17;Treshold;45.3594903728586;2.86280582733374;RSq (dRn);Slope (dRn)
A10;Unkn25_NaN_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A11;Unkn25_NaN_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A12;Unkn25_NaN_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B01;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;28.7097469726129;30000;RSq (dRn);Slope (dRn)
B02;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;30.2015673415392;30000;RSq (dRn);Slope (dRn)
B03;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;28.628468993776;30000;RSq (dRn);Slope (dRn)
B04;Unkn10_MST082_3uL_Qty or ID;Unkn10;Unkn10;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B05;Unkn10_MST082_3uL_Qty or ID;Unkn10;Unkn10;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B06;Unkn10_MST082_3uL_Qty or ID;Unkn10;Unkn10;Treshold;41.2401441963285;31.9688771067074;RSq (dRn);Slope (dRn)
B07;Unkn18_MST452_3uL_Qty or ID;Unkn18;Unkn18;Treshold;30.2426074678649;20064.6153453546;RSq (dRn);Slope (dRn)
B08;Unkn18_MST452_3uL_Qty or ID;Unkn18;Unkn18;Treshold;30.3166821422253;19212.6252590788;RSq (dRn);Slope (dRn)
B09;Unkn18_MST452_3uL_Qty or ID;Unkn18;Unkn18;Treshold;33.1299871685211;3697.42855850516;RSq (dRn);Slope (dRn)
B10;Unkn26_NaN_3uL_Qty or ID;Unkn26;Unkn26;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
