Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std3E5_3uL_  Qty or ID	Standard	1	0.0269	22.78	3.00e+005	0.986	-3.494	
A2	01_std3E5_3uL_  Qty or ID	Standard	1	0.0269	22.06	3.00e+005	0.986	-3.494	
A3	01_std3E5_3uL_  Qty or ID	Standard	1	0.0269	22.50	3.00e+005	0.986	-3.494	
B1	02_std3E4_3uL_  Qty or ID	Standard	2	0.0269	26.58	3.00e+004	0.986	-3.494	
B2	02_std3E4_3uL_  Qty or ID	Standard	2	0.0269	25.97	3.00e+004	0.986	-3.494	
B3	02_std3E4_3uL_  Qty or ID	Standard	2	0.0269	25.78	3.00e+004	0.986	-3.494	
C1	03_std3E3_3uL_  Qty or ID	Standard	3	0.0269	28.67	3.00e+003	0.986	-3.494	
C2	03_std3E3_3uL_  Qty or ID	Standard	3	0.0269	28.88	3.00e+003	0.986	-3.494	
C3	03_std3E3_3uL_  Qty or ID	Standard	3	0.0269	29.14	3.00e+003	0.986	-3.494	
D1	04_std3E2_3uL_  Qty or ID	Standard	4	0.0269	33.24	3.00e+002	0.986	-3.494	
D2	04_std3E2_3uL_  Qty or ID	Standard	4	0.0269	32.65	3.00e+002	0.986	-3.494	
D3	04_std3E2_3uL_  Qty or ID	Standard	4	0.0269	32.77	3.00e+002	0.986	-3.494	
E1	05_std3E1_3uL_  Qty or ID	Standard	5	0.0269	35.62	3.00e+001	0.986	-3.494	
E2	05_std3E1_3uL_  Qty or ID	Standard	5	0.0269	37.12	3.00e+001	0.986	-3.494	
E3	05_std3E1_3uL_  Qty or ID	Standard	5	0.0269	35.95	3.00e+001	0.986	-3.494	
F1	06_std3E0_3uL_  Qty or ID	Standard	6	0.0269	39.98	3.00e+000	0.986	-3.494	
F2	06_std3E0_3uL_  Qty or ID	Standard	6	0.0269	41.62	3.00e+000	0.986	-3.494	
F3	06_std3E0_3uL_  Qty or ID	Standard	6	0.0269	41.04	3.00e+000	0.986	-3.494	
G1	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0269	No Ct	No Ct	0.986	-3.494	
G2	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0269	41.56	3.00e-001	0.986	-3.494	
G3	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0269	No Ct	No Ct	0.986	-3.494	
H1	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0269	No Ct	No Ct	0.986	-3.494	
H2	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0269	40.07	2.64	0.986	-3.494	
H3	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0269	No Ct	No Ct	0.986	-3.494	
A4	09_MST2021-058 _3uL_  Qty or ID	Unknown	9	0.0269	25.57	3.734e+004	0.986	-3.494	
A5	09_MST2021-058 _3uL_  Qty or ID	Unknown	9	0.0269	25.19	4.790e+004	0.986	-3.494	
A6	09_MST2021-058 _3uL_  Qty or ID	Unknown	9	0.0269	25.00	5.425e+004	0.986	-3.494	
B4	10_MST2021-064 _3uL_  Qty or ID	Unknown	10	0.0269	24.81	6.138e+004	0.986	-3.494	
B5	10_MST2021-064 _3uL_  Qty or ID	Unknown	10	0.0269	24.66	6.776e+004	0.986	-3.494	
B6	10_MST2021-064 _3uL_  Qty or ID	Unknown	10	0.0269	25.14	4.943e+004	0.986	-3.494	
C4	11_MST2021-079 _3uL_  Qty or ID	Unknown	11	0.0269	No Ct	No Ct	0.986	-3.494	
C5	11_MST2021-079 _3uL_  Qty or ID	Unknown	11	0.0269	41.83	8.304e-001	0.986	-3.494	
C6	11_MST2021-079 _3uL_  Qty or ID	Unknown	11	0.0269	42.72	4.616e-001	0.986	-3.494	
D4	12_MST2021-082 _3uL_  Qty or ID	Unknown	12	0.0269	28.66	4.872e+003	0.986	-3.494	
D5	12_MST2021-082 _3uL_  Qty or ID	Unknown	12	0.0269	29.43	2.926e+003	0.986	-3.494	
D6	12_MST2021-082 _3uL_  Qty or ID	Unknown	12	0.0269	29.50	2.797e+003	0.986	-3.494	
E4	13_MST2021-070 _3uL_  Qty or ID	Unknown	13	0.0269	37.78	1.192e+001	0.986	-3.494	
E5	13_MST2021-070 _3uL_  Qty or ID	Unknown	13	0.0269	39.70	3.36	0.986	-3.494	
E6	13_MST2021-070 _3uL_  Qty or ID	Unknown	13	0.0269	39.33	4.31	0.986	-3.494	
F4	14_MST1043 _3uL_  Qty or ID	Unknown	14	0.0269	No Ct	No Ct	0.986	-3.494	
F5	14_MST1043 _3uL_  Qty or ID	Unknown	14	0.0269	No Ct	No Ct	0.986	-3.494	
F6	14_MST1043 _3uL_  Qty or ID	Unknown	14	0.0269	No Ct	No Ct	0.986	-3.494	
G4	15_MST1024 _3uL_  Qty or ID	Unknown	15	0.0269	No Ct	No Ct	0.986	-3.494	
G5	15_MST1024 _3uL_  Qty or ID	Unknown	15	0.0269	No Ct	No Ct	0.986	-3.494	
G6	15_MST1024 _3uL_  Qty or ID	Unknown	15	0.0269	No Ct	No Ct	0.986	-3.494	
H4	16_MST1031 _3uL_  Qty or ID	Unknown	16	0.0269	No Ct	No Ct	0.986	-3.494	
H5	16_MST1031 _3uL_  Qty or ID	Unknown	16	0.0269	41.02	1.41	0.986	-3.494	
H6	16_MST1031 _3uL_  Qty or ID	Unknown	16	0.0269	No Ct	No Ct	0.986	-3.494	
A7	17_MST2021-039 _3uL_  Qty or ID	Unknown	17	0.0269	No Ct	No Ct	0.986	-3.494	
A8	17_MST2021-039 _3uL_  Qty or ID	Unknown	17	0.0269	No Ct	No Ct	0.986	-3.494	
A9	17_MST2021-039 _3uL_  Qty or ID	Unknown	17	0.0269	No Ct	No Ct	0.986	-3.494	
B7	18_MST1054 _3uL_  Qty or ID	Unknown	18	0.0269	No Ct	No Ct	0.986	-3.494	
B8	18_MST1054 _3uL_  Qty or ID	Unknown	18	0.0269	No Ct	No Ct	0.986	-3.494	
B9	18_MST1054 _3uL_  Qty or ID	Unknown	18	0.0269	No Ct	No Ct	0.986	-3.494	
C7	19_MST2021-008 _3uL_  Qty or ID	Unknown	19	0.0269	No Ct	No Ct	0.986	-3.494	
C8	19_MST2021-008 _3uL_  Qty or ID	Unknown	19	0.0269	No Ct	No Ct	0.986	-3.494	
C9	19_MST2021-008 _3uL_  Qty or ID	Unknown	19	0.0269	No Ct	No Ct	0.986	-3.494	
D7	20_MST2021-019 _3uL_  Qty or ID	Unknown	20	0.0269	37.47	1.460e+001	0.986	-3.494	
D8	20_MST2021-019 _3uL_  Qty or ID	Unknown	20	0.0269	37.20	1.754e+001	0.986	-3.494	
D9	20_MST2021-019 _3uL_  Qty or ID	Unknown	20	0.0269	38.07	9.87	0.986	-3.494	
E7	21_MST2021-030 _3uL_  Qty or ID	Unknown	21	0.0269	No Ct	No Ct	0.986	-3.494	
E8	21_MST2021-030 _3uL_  Qty or ID	Unknown	21	0.0269	No Ct	No Ct	0.986	-3.494	
E9	21_MST2021-030 _3uL_  Qty or ID	Unknown	21	0.0269	No Ct	No Ct	0.986	-3.494	
F7	22_MST2021-055 _3uL_  Qty or ID	Unknown	22	0.0269	37.30	1.633e+001	0.986	-3.494	
F8	22_MST2021-055 _3uL_  Qty or ID	Unknown	22	0.0269	37.29	1.655e+001	0.986	-3.494	
F9	22_MST2021-055 _3uL_  Qty or ID	Unknown	22	0.0269	37.36	1.573e+001	0.986	-3.494	
G7	23_MST2021-085 _3uL_  Qty or ID	Unknown	23	0.0269	30.93	1.091e+003	0.986	-3.494	
G8	23_MST2021-085 _3uL_  Qty or ID	Unknown	23	0.0269	30.80	1.188e+003	0.986	-3.494	
G9	23_MST2021-085 _3uL_  Qty or ID	Unknown	23	0.0269	30.86	1.141e+003	0.986	-3.494	
H7	24_MST1038 _3uL_  Qty or ID	Unknown	24	0.0269	No Ct	No Ct	0.986	-3.494	
H8	24_MST1038 _3uL_  Qty or ID	Unknown	24	0.0269	No Ct	No Ct	0.986	-3.494	
H9	24_MST1038 _3uL_  Qty or ID	Unknown	24	0.0269	No Ct	No Ct	0.986	-3.494	
A10	25_MST2021-043 _3uL_  Qty or ID	Unknown	25	0.0269	40.47	2.04	0.986	-3.494	
A11	25_MST2021-043 _3uL_  Qty or ID	Unknown	25	0.0269	39.78	3.20	0.986	-3.494	
A12	25_MST2021-043 _3uL_  Qty or ID	Unknown	25	0.0269	40.88	1.55	0.986	-3.494	
B10	26_MST2021-076 _3uL_  Qty or ID	Unknown	26	0.0269	34.30	1.180e+002	0.986	-3.494	
B11	26_MST2021-076 _3uL_  Qty or ID	Unknown	26	0.0269	33.73	1.724e+002	0.986	-3.494	
B12	26_MST2021-076 _3uL_  Qty or ID	Unknown	26	0.0269	33.30	2.286e+002	0.986	-3.494	
C10	27_MST2021-029 _3uL_  Qty or ID	Unknown	27	0.0269	32.02	5.306e+002	0.986	-3.494	
C11	27_MST2021-029 _3uL_  Qty or ID	Unknown	27	0.0269	32.36	4.236e+002	0.986	-3.494	
C12	27_MST2021-029 _3uL_  Qty or ID	Unknown	27	0.0269	32.46	3.977e+002	0.986	-3.494	
D10	28_MST2021-083 _3uL_  Qty or ID	Unknown	28	0.0269	24.23	8.993e+004	0.986	-3.494	
D11	28_MST2021-083 _3uL_  Qty or ID	Unknown	28	0.0269	23.80	1.198e+005	0.986	-3.494	
D12	28_MST2021-083 _3uL_  Qty or ID	Unknown	28	0.0269	23.91	1.111e+005	0.986	-3.494	
E10	29_MST2021-006 _3uL_  Qty or ID	Unknown	29	0.0269	30.34	1.613e+003	0.986	-3.494	
E11	29_MST2021-006 _3uL_  Qty or ID	Unknown	29	0.0269	31.17	9.287e+002	0.986	-3.494	
E12	29_MST2021-006 _3uL_  Qty or ID	Unknown	29	0.0269	30.91	1.104e+003	0.986	-3.494	
F10	30_MST2021-011 _3uL_  Qty or ID	Unknown	30	0.0269	24.77	6.309e+004	0.986	-3.494	
F11	30_MST2021-011 _3uL_  Qty or ID	Unknown	30	0.0269	24.77	6.322e+004	0.986	-3.494	
F12	30_MST2021-011 _3uL_  Qty or ID	Unknown	30	0.0269	24.76	6.358e+004	0.986	-3.494	
G10	31_MST2021-002 _3uL_  Qty or ID	Unknown	31	0.0269	33.14	2.542e+002	0.986	-3.494	
G11	31_MST2021-002 _3uL_  Qty or ID	Unknown	31	0.0269	33.05	2.699e+002	0.986	-3.494	
G12	31_MST2021-002 _3uL_  Qty or ID	Unknown	31	0.0269	32.97	2.838e+002	0.986	-3.494	
H10	32_MST2021-013 _3uL_  Qty or ID	Unknown	32	0.0269	37.38	1.556e+001	0.986	-3.494	
H11	32_MST2021-013 _3uL_  Qty or ID	Unknown	32	0.0269	37.58	1.358e+001	0.986	-3.494	
H12	32_MST2021-013 _3uL_  Qty or ID	Unknown	32	0.0269	36.95	2.062e+001	0.986	-3.494	
