Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std3E5_3uL_  Qty or ID	Standard	1	0.0323	20.47	3.00e+005	0.988	-3.521	
A2	01_std3E5_3uL_  Qty or ID	Standard	1	0.0323	20.86	3.00e+005	0.988	-3.521	
A3	01_std3E5_3uL_  Qty or ID	Standard	1	0.0323	20.97	3.00e+005	0.988	-3.521	
B1	02_std3E4_3uL_  Qty or ID	Standard	2	0.0323	25.82	3.00e+004	0.988	-3.521	
B2	02_std3E4_3uL_  Qty or ID	Standard	2	0.0323	24.86	3.00e+004	0.988	-3.521	
B3	02_std3E4_3uL_  Qty or ID	Standard	2	0.0323	24.86	3.00e+004	0.988	-3.521	
C1	03_std3E3_3uL_  Qty or ID	Standard	3	0.0323	28.55	3.00e+003	0.988	-3.521	
C2	03_std3E3_3uL_  Qty or ID	Standard	3	0.0323	28.65	3.00e+003	0.988	-3.521	
C3	03_std3E3_3uL_  Qty or ID	Standard	3	0.0323	28.80	3.00e+003	0.988	-3.521	
D1	04_std3E2_3uL_  Qty or ID	Standard	4	0.0323	31.70	3.00e+002	0.988	-3.521	
D2	04_std3E2_3uL_  Qty or ID	Standard	4	0.0323	32.13	3.00e+002	0.988	-3.521	
D3	04_std3E2_3uL_  Qty or ID	Standard	4	0.0323	31.69	3.00e+002	0.988	-3.521	
E1	05_std3E1_3uL_  Qty or ID	Standard	5	0.0323	35.41	3.00e+001	0.988	-3.521	
E2	05_std3E1_3uL_  Qty or ID	Standard	5	0.0323	36.79	3.00e+001	0.988	-3.521	
E3	05_std3E1_3uL_  Qty or ID	Standard	5	0.0323	35.80	3.00e+001	0.988	-3.521	
F1	06_std3E0_3uL_  Qty or ID	Standard	6	0.0323	38.38	3.00e+000	0.988	-3.521	
F2	06_std3E0_3uL_  Qty or ID	Standard	6	0.0323	37.56	3.00e+000	0.988	-3.521	
F3	06_std3E0_3uL_  Qty or ID	Standard	6	0.0323	No Ct	No Ct	0.988	-3.521	
G1	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0323	No Ct	No Ct	0.988	-3.521	
G2	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0323	No Ct	No Ct	0.988	-3.521	
G3	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0323	No Ct	No Ct	0.988	-3.521	
H1	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0323	No Ct	No Ct	0.988	-3.521	
H2	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0323	No Ct	No Ct	0.988	-3.521	
H3	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0323	No Ct	No Ct	0.988	-3.521	
A4	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.0323	No Ct	No Ct	0.988	-3.521	
A5	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.0323	No Ct	No Ct	0.988	-3.521	
A6	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.0323	No Ct	No Ct	0.988	-3.521	
B4	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.0323	No Ct	No Ct	0.988	-3.521	
B5	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.0323	No Ct	No Ct	0.988	-3.521	
B6	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.0323	No Ct	No Ct	0.988	-3.521	
C4	11_MST2021-028 _3uL_  Qty or ID	Unknown	11	0.0323	No Ct	No Ct	0.988	-3.521	
C5	11_MST2021-028 _3uL_  Qty or ID	Unknown	11	0.0323	No Ct	No Ct	0.988	-3.521	
C6	11_MST2021-028 _3uL_  Qty or ID	Unknown	11	0.0323	No Ct	No Ct	0.988	-3.521	
D4	12_MST2021-031 _3uL_  Qty or ID	Unknown	12	0.0323	No Ct	No Ct	0.988	-3.521	
