Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std3E5_3uL_  Qty or ID	Standard	1	0.1208	21.52	3.00e+005	0.981	-3.370	
A2	01_std3E5_3uL_  Qty or ID	Standard	1	0.1208	20.21	3.00e+005	0.981	-3.370	
A3	01_std3E5_3uL_  Qty or ID	Standard	1	0.1208	20.24	3.00e+005	0.981	-3.370	
B1	02_std3E4_3uL_  Qty or ID	Standard	2	0.1208	23.62	3.00e+004	0.981	-3.370	
B2	02_std3E4_3uL_  Qty or ID	Standard	2	0.1208	23.75	3.00e+004	0.981	-3.370	
B3	02_std3E4_3uL_  Qty or ID	Standard	2	0.1208	23.60	3.00e+004	0.981	-3.370	
C1	03_std3E3_3uL_  Qty or ID	Standard	3	0.1208	26.79	3.00e+003	0.981	-3.370	
C2	03_std3E3_3uL_  Qty or ID	Standard	3	0.1208	26.92	3.00e+003	0.981	-3.370	
C3	03_std3E3_3uL_  Qty or ID	Standard	3	0.1208	26.97	3.00e+003	0.981	-3.370	
D1	04_std3E2_3uL_  Qty or ID	Standard	4	0.1208	30.36	3.00e+002	0.981	-3.370	
D2	04_std3E2_3uL_  Qty or ID	Standard	4	0.1208	30.47	3.00e+002	0.981	-3.370	
D3	04_std3E2_3uL_  Qty or ID	Standard	4	0.1208	30.25	3.00e+002	0.981	-3.370	
E1	05_std3E1_3uL_  Qty or ID	Standard	5	0.1208	33.76	3.00e+001	0.981	-3.370	
E2	05_std3E1_3uL_  Qty or ID	Standard	5	0.1208	33.75	3.00e+001	0.981	-3.370	
E3	05_std3E1_3uL_  Qty or ID	Standard	5	0.1208	33.53	3.00e+001	0.981	-3.370	
F1	06_std3E0_3uL_  Qty or ID	Standard	6	0.1208	38.99	3.00e+000	0.981	-3.370	
F2	06_std3E0_3uL_  Qty or ID	Standard	6	0.1208	39.24	3.00e+000	0.981	-3.370	
F3	06_std3E0_3uL_  Qty or ID	Standard	6	0.1208	37.66	3.00e+000	0.981	-3.370	
G1	07_std3E-1_3uL_  Qty or ID	Standard	7	0.1208	38.30	3.00e-001	0.981	-3.370	
G2	07_std3E-1_3uL_  Qty or ID	Standard	7	0.1208	No Ct	No Ct	0.981	-3.370	
G3	07_std3E-1_3uL_  Qty or ID	Standard	7	0.1208	No Ct	No Ct	0.981	-3.370	
H1	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.1208	No Ct	No Ct	0.981	-3.370	
H2	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.1208	No Ct	No Ct	0.981	-3.370	
H3	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.1208	38.19	1.60	0.981	-3.370	
A4	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.1208	37.89	1.97	0.981	-3.370	
A5	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.1208	38.86	1.02	0.981	-3.370	
A6	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.1208	38.45	1.34	0.981	-3.370	
B4	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.1208	No Ct	No Ct	0.981	-3.370	
B5	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.1208	No Ct	No Ct	0.981	-3.370	
B6	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.1208	39.13	8.465e-001	0.981	-3.370	
C4	11_MST2021-028 _3uL_  Qty or ID	Unknown	11	0.1208	34.15	2.539e+001	0.981	-3.370	
C5	11_MST2021-028 _3uL_  Qty or ID	Unknown	11	0.1208	33.91	2.996e+001	0.981	-3.370	
C6	11_MST2021-028 _3uL_  Qty or ID	Unknown	11	0.1208	33.91	2.988e+001	0.981	-3.370	
D4	12_MST2021-031 _3uL_  Qty or ID	Unknown	12	0.1208	32.68	6.928e+001	0.981	-3.370	
D5	12_MST2021-031 _3uL_  Qty or ID	Unknown	12	0.1208	32.89	5.999e+001	0.981	-3.370	
