Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std3E5_3uL_  Qty or ID	Standard	1	0.0221	20.02	3.00e+005	0.995	-3.487	
A2	01_std3E5_3uL_  Qty or ID	Standard	1	0.0221	20.08	3.00e+005	0.995	-3.487	
A3	01_std3E5_3uL_  Qty or ID	Standard	1	0.0221	20.54	3.00e+005	0.995	-3.487	
B1	02_std3E4_3uL_  Qty or ID	Standard	2	0.0221	24.12	3.00e+004	0.995	-3.487	
B2	02_std3E4_3uL_  Qty or ID	Standard	2	0.0221	24.18	3.00e+004	0.995	-3.487	
B3	02_std3E4_3uL_  Qty or ID	Standard	2	0.0221	24.39	3.00e+004	0.995	-3.487	
C1	03_std3E3_3uL_  Qty or ID	Standard	3	0.0221	27.22	3.00e+003	0.995	-3.487	
C2	03_std3E3_3uL_  Qty or ID	Standard	3	0.0221	27.54	3.00e+003	0.995	-3.487	
C3	03_std3E3_3uL_  Qty or ID	Standard	3	0.0221	27.53	3.00e+003	0.995	-3.487	
D1	04_std3E2_3uL_  Qty or ID	Standard	4	0.0221	31.04	3.00e+002	0.995	-3.487	
D2	04_std3E2_3uL_  Qty or ID	Standard	4	0.0221	30.80	3.00e+002	0.995	-3.487	
D3	04_std3E2_3uL_  Qty or ID	Standard	4	0.0221	30.84	3.00e+002	0.995	-3.487	
E1	05_std3E1_3uL_  Qty or ID	Standard	5	0.0221	35.16	3.00e+001	0.995	-3.487	
E2	05_std3E1_3uL_  Qty or ID	Standard	5	0.0221	34.92	3.00e+001	0.995	-3.487	
E3	05_std3E1_3uL_  Qty or ID	Standard	5	0.0221	34.24	3.00e+001	0.995	-3.487	
F1	06_std3E0_3uL_  Qty or ID	Standard	6	0.0221	No Ct	No Ct	0.995	-3.487	
F2	06_std3E0_3uL_  Qty or ID	Standard	6	0.0221	No Ct	No Ct	0.995	-3.487	
F3	06_std3E0_3uL_  Qty or ID	Standard	6	0.0221	37.00	3.00e+000	0.995	-3.487	
G1	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0221	No Ct	No Ct	0.995	-3.487	
G2	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0221	No Ct	No Ct	0.995	-3.487	
G3	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0221	No Ct	No Ct	0.995	-3.487	
H1	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0221	No Ct	No Ct	0.995	-3.487	
H2	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0221	No Ct	No Ct	0.995	-3.487	
H3	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0221	No Ct	No Ct	0.995	-3.487	
A4	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.0221	No Ct	No Ct	0.995	-3.487	
A5	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.0221	38.11	2.62	0.995	-3.487	
A6	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.0221	37.20	4.79	0.995	-3.487	
B4	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.0221	No Ct	No Ct	0.995	-3.487	
B5	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.0221	No Ct	No Ct	0.995	-3.487	
B6	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.0221	No Ct	No Ct	0.995	-3.487	
C4	11_MST2021-028 _3uL_  Qty or ID	Unknown	11	0.0221	No Ct	No Ct	0.995	-3.487	
C5	11_MST2021-028 _3uL_  Qty or ID	Unknown	11	0.0221	No Ct	No Ct	0.995	-3.487	
C6	11_MST2021-028 _3uL_  Qty or ID	Unknown	11	0.0221	No Ct	No Ct	0.995	-3.487	
D4	12_MST2021-031 _3uL_  Qty or ID	Unknown	12	0.0221	No Ct	No Ct	0.995	-3.487	
D5	12_MST2021-031 _3uL_  Qty or ID	Unknown	12	0.0221	No Ct	No Ct	0.995	-3.487	
D6	12_MST2021-031 _3uL_  Qty or ID	Unknown	12	0.0221	No Ct	No Ct	0.995	-3.487	
E4	13_MST2021-032 _3uL_  Qty or ID	Unknown	13	0.0221	No Ct	No Ct	0.995	-3.487	
E5	13_MST2021-032 _3uL_  Qty or ID	Unknown	13	0.0221	No Ct	No Ct	0.995	-3.487	
E6	13_MST2021-032 _3uL_  Qty or ID	Unknown	13	0.0221	No Ct	No Ct	0.995	-3.487	
F4	14_MST2021-040 _3uL_  Qty or ID	Unknown	14	0.0221	No Ct	No Ct	0.995	-3.487	
F5	14_MST2021-040 _3uL_  Qty or ID	Unknown	14	0.0221	No Ct	No Ct	0.995	-3.487	
F6	14_MST2021-040 _3uL_  Qty or ID	Unknown	14	0.0221	No Ct	No Ct	0.995	-3.487	
G4	15_MST2021-081 _3uL_  Qty or ID	Unknown	15	0.0221	No Ct	No Ct	0.995	-3.487	
G5	15_MST2021-081 _3uL_  Qty or ID	Unknown	15	0.0221	No Ct	No Ct	0.995	-3.487	
G6	15_MST2021-081 _3uL_  Qty or ID	Unknown	15	0.0221	No Ct	No Ct	0.995	-3.487	
H4	16_MST2021-044 _3uL_  Qty or ID	Unknown	16	0.0221	No Ct	No Ct	0.995	-3.487	
H5	16_MST2021-044 _3uL_  Qty or ID	Unknown	16	0.0221	No Ct	No Ct	0.995	-3.487	
H6	16_MST2021-044 _3uL_  Qty or ID	Unknown	16	0.0221	No Ct	No Ct	0.995	-3.487	
A7	17_MST2021-049 _3uL_  Qty or ID	Unknown	17	0.0221	No Ct	No Ct	0.995	-3.487	
A8	17_MST2021-049 _3uL_  Qty or ID	Unknown	17	0.0221	No Ct	No Ct	0.995	-3.487	
A9	17_MST2021-049 _3uL_  Qty or ID	Unknown	17	0.0221	No Ct	No Ct	0.995	-3.487	
B7	18_MST2021-052 _3uL_  Qty or ID	Unknown	18	0.0221	No Ct	No Ct	0.995	-3.487	
B8	18_MST2021-052 _3uL_  Qty or ID	Unknown	18	0.0221	No Ct	No Ct	0.995	-3.487	
B9	18_MST2021-052 _3uL_  Qty or ID	Unknown	18	0.0221	No Ct	No Ct	0.995	-3.487	
C7	19_MST2021-071 _3uL_  Qty or ID	Unknown	19	0.0221	No Ct	No Ct	0.995	-3.487	
C8	19_MST2021-071 _3uL_  Qty or ID	Unknown	19	0.0221	No Ct	No Ct	0.995	-3.487	
C9	19_MST2021-071 _3uL_  Qty or ID	Unknown	19	0.0221	No Ct	No Ct	0.995	-3.487	
D7	20_MST2021-005 _3uL_  Qty or ID	Unknown	20	0.0221	No Ct	No Ct	0.995	-3.487	
D8	20_MST2021-005 _3uL_  Qty or ID	Unknown	20	0.0221	No Ct	No Ct	0.995	-3.487	
D9	20_MST2021-005 _3uL_  Qty or ID	Unknown	20	0.0221	No Ct	No Ct	0.995	-3.487	
E7	21_MST2021-025 _3uL_  Qty or ID	Unknown	21	0.0221	No Ct	No Ct	0.995	-3.487	
E8	21_MST2021-025 _3uL_  Qty or ID	Unknown	21	0.0221	No Ct	No Ct	0.995	-3.487	
E9	21_MST2021-025 _3uL_  Qty or ID	Unknown	21	0.0221	No Ct	No Ct	0.995	-3.487	
F7	22_NEKfeb2022_3uL_  Qty or ID	Unknown	22	0.0221	No Ct	No Ct	0.995	-3.487	
