Well;replno;smpltp;templvol;QtyID;WellType;Replicate;ThresholddRn;CtdRn;Quantitycopies;RSqdRn;SlopedRn;qpcrno;MONISprojectno;AssayID;speciesabbr;plateno;qpcrrundate
A1;01;std1E5;3uL;QtyorID;Standard;1;0.0066;18.63;3.00e+005;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A2;01;std1E5;3uL;QtyorID;Standard;1;0.0066;20.14;3.00e+005;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A3;01;std1E5;3uL;QtyorID;Standard;1;0.0066;19.65;3.00e+005;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B1;02;std1E4;3uL;QtyorID;Standard;2;0.0066;23.45;3.00e+004;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B2;02;std1E4;3uL;QtyorID;Standard;2;0.0066;22.78;3.00e+004;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B3;02;std1E4;3uL;QtyorID;Standard;2;0.0066;23.15;3.00e+004;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C1;03;std1E3;3uL;QtyorID;Standard;3;0.0066;26.09;3.00e+003;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C2;03;std1E3;3uL;QtyorID;Standard;3;0.0066;26.80;3.00e+003;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C3;03;std1E3;3uL;QtyorID;Standard;3;0.0066;27.39;3.00e+003;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D1;04;std1E2;3uL;QtyorID;Standard;4;0.0066;30.21;3.00e+002;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D2;04;std1E2;3uL;QtyorID;Standard;4;0.0066;30.78;3.00e+002;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D3;04;std1E2;3uL;QtyorID;Standard;4;0.0066;30.87;3.00e+002;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E1;05;std1E1;3uL;QtyorID;Standard;5;0.0066;32.97;3.00e+001;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E2;05;std1E1;3uL;QtyorID;Standard;5;0.0066;48.58;3.00e+001;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E3;05;std1E1;3uL;QtyorID;Standard;5;0.0066;33.46;3.00e+001;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F1;06;std1E0;3uL;QtyorID;Standard;6;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F2;06;std1E0;3uL;QtyorID;Standard;6;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F3;06;std1E0;3uL;QtyorID;Standard;6;0.0066;37.92;3.00e+000;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G1;07;std1E-1;3uL;QtyorID;Standard;7;0.0066;48.78;3.00e-001;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G2;07;std1E-1;3uL;QtyorID;Standard;7;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G3;07;std1E-1;3uL;QtyorID;Standard;7;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H1;08;std1ENTC;3uL;QtyorID;NTC;8;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H2;08;std1ENTC;3uL;QtyorID;NTC;8;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H3;08;std1ENTC;3uL;QtyorID;NTC;8;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A4;09;MST-566STEX26-02;3uL;QtyorID;Unknown;9;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A5;09;MST-566STEX26-02;3uL;QtyorID;Unknown;9;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A6;09;MST-566STEX26-02;3uL;QtyorID;Unknown;9;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B4;10;MST-2021-012STEX26-04;3uL;QtyorID;Unknown;10;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B5;10;MST-2021-012STEX26-04;3uL;QtyorID;Unknown;10;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B6;10;MST-2021-012STEX26-04;3uL;QtyorID;Unknown;10;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C4;11;MST-2021-019STEX26-06;3uL;QtyorID;Unknown;11;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C5;11;MST-2021-019STEX26-06;3uL;QtyorID;Unknown;11;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C6;11;MST-2021-019STEX26-06;3uL;QtyorID;Unknown;11;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D4;12;MST-2022-050STEX26-07;3uL;QtyorID;Unknown;12;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D5;12;MST-2022-050STEX26-07;3uL;QtyorID;Unknown;12;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D6;12;MST-2022-050STEX26-07;3uL;QtyorID;Unknown;12;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E4;13;MST-2021-005STEX26-09;3uL;QtyorID;Unknown;13;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E5;13;MST-2021-005STEX26-09;3uL;QtyorID;Unknown;13;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E6;13;MST-2021-005STEX26-09;3uL;QtyorID;Unknown;13;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F4;14;MST-011STEX26-11;3uL;QtyorID;Unknown;14;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F5;14;MST-011STEX26-11;3uL;QtyorID;Unknown;14;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F6;14;MST-011STEX26-11;3uL;QtyorID;Unknown;14;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G4;15;MST-2022-076STEX26-15;3uL;QtyorID;Unknown;15;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
