Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E5_3uL_  Qty or ID	Standard	1	0.0745	21.64	3.00e+005	0.989	-3.294	
A2	01_std1E5_3uL_  Qty or ID	Standard	1	0.0745	21.49	3.00e+005	0.989	-3.294	
A3	01_std1E5_3uL_  Qty or ID	Standard	1	0.0745	21.44	3.00e+005	0.989	-3.294	
B1	02_std1E4_3uL_  Qty or ID	Standard	2	0.0745	24.94	3.00e+004	0.989	-3.294	
B2	02_std1E4_3uL_  Qty or ID	Standard	2	0.0745	25.00	3.00e+004	0.989	-3.294	
B3	02_std1E4_3uL_  Qty or ID	Standard	2	0.0745	24.72	3.00e+004	0.989	-3.294	
C1	03_std1E3_3uL_  Qty or ID	Standard	3	0.0745	28.58	3.00e+003	0.989	-3.294	
C2	03_std1E3_3uL_  Qty or ID	Standard	3	0.0745	28.77	3.00e+003	0.989	-3.294	
C3	03_std1E3_3uL_  Qty or ID	Standard	3	0.0745	29.06	3.00e+003	0.989	-3.294	
D1	04_std1E2_3uL_  Qty or ID	Standard	4	0.0745	32.52	3.00e+002	0.989	-3.294	
D2	04_std1E2_3uL_  Qty or ID	Standard	4	0.0745	32.02	3.00e+002	0.989	-3.294	
D3	04_std1E2_3uL_  Qty or ID	Standard	4	0.0745	32.01	3.00e+002	0.989	-3.294	
E1	05_std1E1_3uL_  Qty or ID	Standard	5	0.0745	35.59	3.00e+001	0.989	-3.294	
E2	05_std1E1_3uL_  Qty or ID	Standard	5	0.0745	35.87	3.00e+001	0.989	-3.294	
E3	05_std1E1_3uL_  Qty or ID	Standard	5	0.0745	36.02	3.00e+001	0.989	-3.294	
F1	06_std1E0_3uL_  Qty or ID	Standard	6	0.0745	38.72	3.00e+000	0.989	-3.294	
F2	06_std1E0_3uL_  Qty or ID	Standard	6	0.0745	38.19	3.00e+000	0.989	-3.294	
F3	06_std1E0_3uL_  Qty or ID	Standard	6	0.0745	37.83	3.00e+000	0.989	-3.294	
G1	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0745	No Ct	No Ct	0.989	-3.294	
G2	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0745	No Ct	No Ct	0.989	-3.294	
G3	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0745	39.72	3.00e-001	0.989	-3.294	
H1	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0745	No Ct	No Ct	0.989	-3.294	
H2	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0745	No Ct	No Ct	0.989	-3.294	
H3	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0745	No Ct	No Ct	0.989	-3.294	
A4	09_MST-566 _26_02 _3uL_  Qty or ID	Unknown	9	0.0745	No Ct	No Ct	0.989	-3.294	
A5	09_MST-566 _26_02 _3uL_  Qty or ID	Unknown	9	0.0745	No Ct	No Ct	0.989	-3.294	
A6	09_MST-566 _26_02 _3uL_  Qty or ID	Unknown	9	0.0745	No Ct	No Ct	0.989	-3.294	
B4	10_MST-2021-012 _26_04 _3uL_  Qty or ID	Unknown	10	0.0745	No Ct	No Ct	0.989	-3.294	
B5	10_MST-2021-012 _26_04 _3uL_  Qty or ID	Unknown	10	0.0745	No Ct	No Ct	0.989	-3.294	
B6	10_MST-2021-012 _26_04 _3uL_  Qty or ID	Unknown	10	0.0745	No Ct	No Ct	0.989	-3.294	
C4	11_MST-2021-019 _26_06 _3uL_  Qty or ID	Unknown	11	0.0745	No Ct	No Ct	0.989	-3.294	
C5	11_MST-2021-019 _26_06 _3uL_  Qty or ID	Unknown	11	0.0745	No Ct	No Ct	0.989	-3.294	
C6	11_MST-2021-019 _26_06 _3uL_  Qty or ID	Unknown	11	0.0745	No Ct	No Ct	0.989	-3.294	
D4	12_MST-2022-050 _26_07 _3uL_  Qty or ID	Unknown	12	0.0745	No Ct	No Ct	0.989	-3.294	
D5	12_MST-2022-050 _26_07 _3uL_  Qty or ID	Unknown	12	0.0745	No Ct	No Ct	0.989	-3.294	
D6	12_MST-2022-050 _26_07 _3uL_  Qty or ID	Unknown	12	0.0745	No Ct	No Ct	0.989	-3.294	
E4	13_MST-2021-005 _26_09 _3uL_  Qty or ID	Unknown	13	0.0745	No Ct	No Ct	0.989	-3.294	
E5	13_MST-2021-005 _26_09 _3uL_  Qty or ID	Unknown	13	0.0745	No Ct	No Ct	0.989	-3.294	
E6	13_MST-2021-005 _26_09 _3uL_  Qty or ID	Unknown	13	0.0745	No Ct	No Ct	0.989	-3.294	
