Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E5_3uL_  Qty or ID	Standard	1	0.2313	21.91	3.00e+005	0.996	-3.263	
A2	01_std1E5_3uL_  Qty or ID	Standard	1	0.2313	21.98	3.00e+005	0.996	-3.263	
A3	01_std1E5_3uL_  Qty or ID	Standard	1	0.2313	21.89	3.00e+005	0.996	-3.263	
B1	02_std1E4_3uL_  Qty or ID	Standard	2	0.2313	25.52	3.00e+004	0.996	-3.263	
B2	02_std1E4_3uL_  Qty or ID	Standard	2	0.2313	25.40	3.00e+004	0.996	-3.263	
B3	02_std1E4_3uL_  Qty or ID	Standard	2	0.2313	25.37	3.00e+004	0.996	-3.263	
C1	03_std1E3_3uL_  Qty or ID	Standard	3	0.2313	28.78	3.00e+003	0.996	-3.263	
C2	03_std1E3_3uL_  Qty or ID	Standard	3	0.2313	29.03	3.00e+003	0.996	-3.263	
C3	03_std1E3_3uL_  Qty or ID	Standard	3	0.2313	28.77	3.00e+003	0.996	-3.263	
D1	04_std1E2_3uL_  Qty or ID	Standard	4	0.2313	32.14	3.00e+002	0.996	-3.263	
D2	04_std1E2_3uL_  Qty or ID	Standard	4	0.2313	32.44	3.00e+002	0.996	-3.263	
D3	04_std1E2_3uL_  Qty or ID	Standard	4	0.2313	32.17	3.00e+002	0.996	-3.263	
E1	05_std1E1_3uL_  Qty or ID	Standard	5	0.2313	35.54	3.00e+001	0.996	-3.263	
E2	05_std1E1_3uL_  Qty or ID	Standard	5	0.2313	35.42	3.00e+001	0.996	-3.263	
E3	05_std1E1_3uL_  Qty or ID	Standard	5	0.2313	36.03	3.00e+001	0.996	-3.263	
F1	06_std1E0_3uL_  Qty or ID	Standard	6	0.2313	38.59	3.00e+000	0.996	-3.263	
F2	06_std1E0_3uL_  Qty or ID	Standard	6	0.2313	38.81	3.00e+000	0.996	-3.263	
F3	06_std1E0_3uL_  Qty or ID	Standard	6	0.2313	38.20	3.00e+000	0.996	-3.263	
G1	07_std1E-1_3uL_  Qty or ID	Standard	7	0.2313	No Ct	No Ct	0.996	-3.263	
G2	07_std1E-1_3uL_  Qty or ID	Standard	7	0.2313	No Ct	No Ct	0.996	-3.263	
G3	07_std1E-1_3uL_  Qty or ID	Standard	7	0.2313	40.53	3.00e-001	0.996	-3.263	
H1	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.2313	No Ct	No Ct	0.996	-3.263	
H2	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.2313	No Ct	No Ct	0.996	-3.263	
H3	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.2313	No Ct	No Ct	0.996	-3.263	
A4	09_MST-566 _26_02 _3uL_  Qty or ID	Unknown	9	0.2313	33.52	1.028e+002	0.996	-3.263	
A5	09_MST-566 _26_02 _3uL_  Qty or ID	Unknown	9	0.2313	33.70	9.093e+001	0.996	-3.263	
A6	09_MST-566 _26_02 _3uL_  Qty or ID	Unknown	9	0.2313	33.81	8.408e+001	0.996	-3.263	
B4	10_MST-2021-012 _26_04 _3uL_  Qty or ID	Unknown	10	0.2313	No Ct	No Ct	0.996	-3.263	
B5	10_MST-2021-012 _26_04 _3uL_  Qty or ID	Unknown	10	0.2313	No Ct	No Ct	0.996	-3.263	
B6	10_MST-2021-012 _26_04 _3uL_  Qty or ID	Unknown	10	0.2313	No Ct	No Ct	0.996	-3.263	
C4	11_MST-2021-019 _26_06 _3uL_  Qty or ID	Unknown	11	0.2313	No Ct	No Ct	0.996	-3.263	
