Well 	                  Well Name 	Well Type 	Replicate 	Threshold (dRn) 	Ct (dRn) 	Quantity (copies) 	RSq (dRn) 	Slope (dRn) 	
  A1 	  01_std1E6_3uL_  Qty or ID 	 Standard 	        1 	         0.2999 	   14.34 	        3.00e+006 	    0.995 	     -3.515 	
  A2 	  01_std1E6_3uL_  Qty or ID 	 Standard 	        1 	         0.2999 	   13.94 	        3.00e+006 	    0.995 	     -3.515 	
  A3 	  01_std1E6_3uL_  Qty or ID 	 Standard 	        1 	         0.2999 	   13.90 	        3.00e+006 	    0.995 	     -3.515 	
  A4 	  01_std1E6_3uL_  Qty or ID 	 Standard 	        1 	         0.2999 	   14.01 	        3.00e+006 	    0.995 	     -3.515 	
  B1 	  02_std1E5_3uL_  Qty or ID 	 Standard 	        2 	         0.2999 	   17.59 	        3.00e+005 	    0.995 	     -3.515 	
  B2 	  02_std1E5_3uL_  Qty or ID 	 Standard 	        2 	         0.2999 	   17.20 	        3.00e+005 	    0.995 	     -3.515 	
  B3 	  02_std1E5_3uL_  Qty or ID 	 Standard 	        2 	         0.2999 	   17.26 	        3.00e+005 	    0.995 	     -3.515 	
  B4 	  02_std1E5_3uL_  Qty or ID 	 Standard 	        2 	         0.2999 	   17.43 	        3.00e+005 	    0.995 	     -3.515 	
  C1 	  03_std1E4_3uL_  Qty or ID 	 Standard 	        3 	         0.2999 	   21.16 	        3.00e+004 	    0.995 	     -3.515 	
  C2 	  03_std1E4_3uL_  Qty or ID 	 Standard 	        3 	         0.2999 	   21.21 	        3.00e+004 	    0.995 	     -3.515 	
  C3 	  03_std1E4_3uL_  Qty or ID 	 Standard 	        3 	         0.2999 	   21.31 	        3.00e+004 	    0.995 	     -3.515 	
  C4 	  03_std1E4_3uL_  Qty or ID 	 Standard 	        3 	         0.2999 	   21.41 	        3.00e+004 	    0.995 	     -3.515 	
  D1 	  04_std1E3_3uL_  Qty or ID 	 Standard 	        4 	         0.2999 	   25.03 	        3.00e+003 	    0.995 	     -3.515 	
