Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_3uL_  Qty or ID	Standard	1	0.1981	13.54	3.00e+006	0.998	-3.631	
A2	01_std1E6_3uL_  Qty or ID	Standard	1	0.1981	13.73	3.00e+006	0.998	-3.631	
A3	01_std1E6_3uL_  Qty or ID	Standard	1	0.1981	13.17	3.00e+006	0.998	-3.631	
A4	01_std1E6_3uL_  Qty or ID	Standard	1	0.1981	13.45	3.00e+006	0.998	-3.631	
B1	02_std1E5_3uL_  Qty or ID	Standard	2	0.1981	17.81	3.00e+005	0.998	-3.631	
B2	02_std1E5_3uL_  Qty or ID	Standard	2	0.1981	16.55	3.00e+005	0.998	-3.631	
B3	02_std1E5_3uL_  Qty or ID	Standard	2	0.1981	17.26	3.00e+005	0.998	-3.631	
B4	02_std1E5_3uL_  Qty or ID	Standard	2	0.1981	16.78	3.00e+005	0.998	-3.631	
C1	03_std1E4_3uL_  Qty or ID	Standard	3	0.1981	20.66	3.00e+004	0.998	-3.631	
C2	03_std1E4_3uL_  Qty or ID	Standard	3	0.1981	20.64	3.00e+004	0.998	-3.631	
C3	03_std1E4_3uL_  Qty or ID	Standard	3	0.1981	20.48	3.00e+004	0.998	-3.631	
C4	03_std1E4_3uL_  Qty or ID	Standard	3	0.1981	20.64	3.00e+004	0.998	-3.631	
D1	04_std1E3_3uL_  Qty or ID	Standard	4	0.1981	24.08	3.00e+003	0.998	-3.631	
D2	04_std1E3_3uL_  Qty or ID	Standard	4	0.1981	24.06	3.00e+003	0.998	-3.631	
D3	04_std1E3_3uL_  Qty or ID	Standard	4	0.1981	24.16	3.00e+003	0.998	-3.631	
D4	04_std1E3_3uL_  Qty or ID	Standard	4	0.1981	23.71	3.00e+003	0.998	-3.631	
E1	05_std1E2_3uL_  Qty or ID	Standard	5	0.1981	28.05	3.00e+002	0.998	-3.631	
E2	05_std1E2_3uL_  Qty or ID	Standard	5	0.1981	27.63	3.00e+002	0.998	-3.631	
E3	05_std1E2_3uL_  Qty or ID	Standard	5	0.1981	27.90	3.00e+002	0.998	-3.631	
E4	05_std1E2_3uL_  Qty or ID	Standard	5	0.1981	27.74	3.00e+002	0.998	-3.631	
F1	06_std1E1_3uL_  Qty or ID	Standard	6	0.1981	31.58	3.00e+001	0.998	-3.631	
F2	06_std1E1_3uL_  Qty or ID	Standard	6	0.1981	31.28	3.00e+001	0.998	-3.631	
F3	06_std1E1_3uL_  Qty or ID	Standard	6	0.1981	31.66	3.00e+001	0.998	-3.631	
