Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.4910	13.42	5.00e+006	0.999	-3.420	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.4910	13.39	5.00e+006	0.999	-3.420	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.4910	13.46	5.00e+006	0.999	-3.420	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.4910	17.52	5.00e+005	0.999	-3.420	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.4910	16.91	5.00e+005	0.999	-3.420	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.4910	16.88	5.00e+005	0.999	-3.420	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.4910	20.25	5.00e+004	0.999	-3.420	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.4910	20.34	5.00e+004	0.999	-3.420	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.4910	20.17	5.00e+004	0.999	-3.420	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.4910	24.04	5.00e+003	0.999	-3.420	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.4910	23.72	5.00e+003	0.999	-3.420	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.4910	23.91	5.00e+003	0.999	-3.420	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.4910	27.14	5.00e+002	0.999	-3.420	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.4910	27.21	5.00e+002	0.999	-3.420	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.4910	27.23	5.00e+002	0.999	-3.420	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.4910	30.89	5.00e+001	0.999	-3.420	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.4910	30.48	5.00e+001	0.999	-3.420	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.4910	30.68	5.00e+001	0.999	-3.420	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.4910	34.00	5.00e+000	0.999	-3.420	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.4910	34.16	5.00e+000	0.999	-3.420	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.4910	33.77	5.00e+000	0.999	-3.420	
H1	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.4910	No Ct	No Ct	0.999	-3.420	
H2	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.4910	No Ct	No Ct	0.999	-3.420	
H3	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.4910	No Ct	No Ct	0.999	-3.420	
A4	09_MST003_5uL_  Qty or ID	Unknown	9	0.4910	No Ct	No Ct	0.999	-3.420	
A5	09_MST003_5uL_  Qty or ID	Unknown	9	0.4910	No Ct	No Ct	0.999	-3.420	
A6	09_MST003_5uL_  Qty or ID	Unknown	9	0.4910	No Ct	No Ct	0.999	-3.420	
B4	10_MST012_5uL_  Qty or ID	Unknown	10	0.4910	31.43	2.915e+001	0.999	-3.420	
B5	10_MST012_5uL_  Qty or ID	Unknown	10	0.4910	31.64	2.526e+001	0.999	-3.420	
B6	10_MST012_5uL_  Qty or ID	Unknown	10	0.4910	31.67	2.480e+001	0.999	-3.420	
C4	11_MST019_5uL_  Qty or ID	Unknown	11	0.4910	No Ct	No Ct	0.999	-3.420	
C5	11_MST019_5uL_  Qty or ID	Unknown	11	0.4910	No Ct	No Ct	0.999	-3.420	
C6	11_MST019_5uL_  Qty or ID	Unknown	11	0.4910	No Ct	No Ct	0.999	-3.420	
D4	12_MST029_5uL_  Qty or ID	Unknown	12	0.4910	36.39	1.03	0.999	-3.420	
D5	12_MST029_5uL_  Qty or ID	Unknown	12	0.4910	37.27	5.720e-001	0.999	-3.420	
D6	12_MST029_5uL_  Qty or ID	Unknown	12	0.4910	36.27	1.12	0.999	-3.420	
E4	13_MST032_5uL_  Qty or ID	Unknown	13	0.4910	30.65	4.912e+001	0.999	-3.420	
E5	13_MST032_5uL_  Qty or ID	Unknown	13	0.4910	30.96	3.997e+001	0.999	-3.420	
E6	13_MST032_5uL_  Qty or ID	Unknown	13	0.4910	31.18	3.443e+001	0.999	-3.420	
F4	14_MST041_5uL_  Qty or ID	Unknown	14	0.4910	No Ct	No Ct	0.999	-3.420	
