Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.2863	19.51	5.00e+006	0.969	-4.261	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.2863	19.56	5.00e+006	0.969	-4.261	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.2863	20.17	5.00e+006	0.969	-4.261	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.2863	23.57	5.00e+005	0.969	-4.261	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.2863	23.05	5.00e+005	0.969	-4.261	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.2863	23.25	5.00e+005	0.969	-4.261	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.2863	26.81	5.00e+004	0.969	-4.261	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.2863	25.68	5.00e+004	0.969	-4.261	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.2863	28.68	5.00e+004	0.969	-4.261	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.2863	33.56	5.00e+003	0.969	-4.261	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.2863	33.67	5.00e+003	0.969	-4.261	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.2863	29.78	5.00e+003	0.969	-4.261	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.2863	37.42	5.00e+002	0.969	-4.261	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.2863	35.59	5.00e+002	0.969	-4.261	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.2863	37.86	5.00e+002	0.969	-4.261	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.2863	No Ct	No Ct	0.969	-4.261	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.2863	39.74	5.00e+001	0.969	-4.261	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.2863	No Ct	No Ct	0.969	-4.261	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.2863	No Ct	No Ct	0.969	-4.261	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.2863	No Ct	No Ct	0.969	-4.261	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.2863	No Ct	No Ct	0.969	-4.261	
H1	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.2863	No Ct	No Ct	0.969	-4.261	
