Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std3E5_3uL_  Qty or ID	Standard	1	0.0232	21.73	3.00e+005	0.993	-3.556	
A2	01_std3E5_3uL_  Qty or ID	Standard	1	0.0232	21.99	3.00e+005	0.993	-3.556	
A3	01_std3E5_3uL_  Qty or ID	Standard	1	0.0232	21.79	3.00e+005	0.993	-3.556	
B1	02_std3E4_3uL_  Qty or ID	Standard	2	0.0232	25.19	3.00e+004	0.993	-3.556	
B2	02_std3E4_3uL_  Qty or ID	Standard	2	0.0232	25.52	3.00e+004	0.993	-3.556	
B3	02_std3E4_3uL_  Qty or ID	Standard	2	0.0232	25.25	3.00e+004	0.993	-3.556	
C1	03_std3E3_3uL_  Qty or ID	Standard	3	0.0232	27.65	3.00e+003	0.993	-3.556	
C2	03_std3E3_3uL_  Qty or ID	Standard	3	0.0232	28.60	3.00e+003	0.993	-3.556	
C3	03_std3E3_3uL_  Qty or ID	Standard	3	0.0232	28.46	3.00e+003	0.993	-3.556	
D1	04_std3E2_3uL_  Qty or ID	Standard	4	0.0232	33.08	3.00e+002	0.993	-3.556	
D2	04_std3E2_3uL_  Qty or ID	Standard	4	0.0232	32.15	3.00e+002	0.993	-3.556	
D3	04_std3E2_3uL_  Qty or ID	Standard	4	0.0232	32.28	3.00e+002	0.993	-3.556	
E1	05_std3E1_3uL_  Qty or ID	Standard	5	0.0232	35.68	3.00e+001	0.993	-3.556	
E2	05_std3E1_3uL_  Qty or ID	Standard	5	0.0232	35.85	3.00e+001	0.993	-3.556	
E3	05_std3E1_3uL_  Qty or ID	Standard	5	0.0232	36.16	3.00e+001	0.993	-3.556	
F1	06_std3E0_3uL_  Qty or ID	Standard	6	0.0232	39.92	3.00e+000	0.993	-3.556	
F2	06_std3E0_3uL_  Qty or ID	Standard	6	0.0232	40.34	3.00e+000	0.993	-3.556	
F3	06_std3E0_3uL_  Qty or ID	Standard	6	0.0232	38.33	3.00e+000	0.993	-3.556	
G1	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0232	No Ct	No Ct	0.993	-3.556	
G2	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0232	No Ct	No Ct	0.993	-3.556	
G3	07_std3E-1_3uL_  Qty or ID	Standard	7	0.0232	No Ct	No Ct	0.993	-3.556	
H1	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0232	No Ct	No Ct	0.993	-3.556	
H2	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0232	40.41	1.60	0.993	-3.556	
H3	08_std3ENTC_3uL_  Qty or ID	NTC	8	0.0232	No Ct	No Ct	0.993	-3.556	
A4	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.0232	No Ct	No Ct	0.993	-3.556	
A5	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.0232	No Ct	No Ct	0.993	-3.556	
A6	09_MST1039 _3uL_  Qty or ID	Unknown	9	0.0232	No Ct	No Ct	0.993	-3.556	
B4	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.0232	37.92	8.06	0.993	-3.556	
B5	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.0232	38.99	4.02	0.993	-3.556	
B6	10_MST2021-015 _3uL_  Qty or ID	Unknown	10	0.0232	38.68	4.92	0.993	-3.556	
