Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E5_3uL_  Qty or ID	Standard	1	0.0401	20.49	3.00e+005	0.998	-3.514	
A2	01_std1E5_3uL_  Qty or ID	Standard	1	0.0401	20.48	3.00e+005	0.998	-3.514	
A3	01_std1E5_3uL_  Qty or ID	Standard	1	0.0401	20.37	3.00e+005	0.998	-3.514	
B1	02_std1E4_3uL_  Qty or ID	Standard	2	0.0401	23.46	3.00e+004	0.998	-3.514	
B2	02_std1E4_3uL_  Qty or ID	Standard	2	0.0401	23.96	3.00e+004	0.998	-3.514	
B3	02_std1E4_3uL_  Qty or ID	Standard	2	0.0401	23.55	3.00e+004	0.998	-3.514	
C1	03_std1E3_3uL_  Qty or ID	Standard	3	0.0401	27.63	3.00e+003	0.998	-3.514	
C2	03_std1E3_3uL_  Qty or ID	Standard	3	0.0401	27.77	3.00e+003	0.998	-3.514	
C3	03_std1E3_3uL_  Qty or ID	Standard	3	0.0401	26.96	3.00e+003	0.998	-3.514	
D1	04_std1E2_3uL_  Qty or ID	Standard	4	0.0401	30.74	3.00e+002	0.998	-3.514	
D2	04_std1E2_3uL_  Qty or ID	Standard	4	0.0401	30.83	3.00e+002	0.998	-3.514	
D3	04_std1E2_3uL_  Qty or ID	Standard	4	0.0401	30.86	3.00e+002	0.998	-3.514	
E1	05_std1E1_3uL_  Qty or ID	Standard	5	0.0401	34.12	3.00e+001	0.998	-3.514	
E2	05_std1E1_3uL_  Qty or ID	Standard	5	0.0401	34.49	3.00e+001	0.998	-3.514	
E3	05_std1E1_3uL_  Qty or ID	Standard	5	0.0401	34.45	3.00e+001	0.998	-3.514	
F1	06_std1E0_3uL_  Qty or ID	Standard	6	0.0401	38.45	3.00e+000	0.998	-3.514	
F2	06_std1E0_3uL_  Qty or ID	Standard	6	0.0401	37.53	3.00e+000	0.998	-3.514	
F3	06_std1E0_3uL_  Qty or ID	Standard	6	0.0401	No Ct	No Ct	0.998	-3.514	
G1	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0401	No Ct	No Ct	0.998	-3.514	
G2	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0401	No Ct	No Ct	0.998	-3.514	
G3	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0401	No Ct	No Ct	0.998	-3.514	
H1	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0401	No Ct	No Ct	0.998	-3.514	
H2	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0401	No Ct	No Ct	0.998	-3.514	
