Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E5_3uL_  Qty or ID	Standard	1	0.0281	21.09	3.00e+005	0.971	-3.620	
A2	01_std1E5_3uL_  Qty or ID	Standard	1	0.0281	21.13	3.00e+005	0.971	-3.620	
A3	01_std1E5_3uL_  Qty or ID	Standard	1	0.0281	21.12	3.00e+005	0.971	-3.620	
B1	02_std1E4_3uL_  Qty or ID	Standard	2	0.0281	24.45	3.00e+004	0.971	-3.620	
B2	02_std1E4_3uL_  Qty or ID	Standard	2	0.0281	24.42	3.00e+004	0.971	-3.620	
B3	02_std1E4_3uL_  Qty or ID	Standard	2	0.0281	24.71	3.00e+004	0.971	-3.620	
C1	03_std1E3_3uL_  Qty or ID	Standard	3	0.0281	28.11	3.00e+003	0.971	-3.620	
C2	03_std1E3_3uL_  Qty or ID	Standard	3	0.0281	28.16	3.00e+003	0.971	-3.620	
C3	03_std1E3_3uL_  Qty or ID	Standard	3	0.0281	28.07	3.00e+003	0.971	-3.620	
D1	04_std1E2_3uL_  Qty or ID	Standard	4	0.0281	31.49	3.00e+002	0.971	-3.620	
D2	04_std1E2_3uL_  Qty or ID	Standard	4	0.0281	31.56	3.00e+002	0.971	-3.620	
D3	04_std1E2_3uL_  Qty or ID	Standard	4	0.0281	31.65	3.00e+002	0.971	-3.620	
E1	05_std1E1_3uL_  Qty or ID	Standard	5	0.0281	34.47	3.00e+001	0.971	-3.620	
E2	05_std1E1_3uL_  Qty or ID	Standard	5	0.0281	35.18	3.00e+001	0.971	-3.620	
E3	05_std1E1_3uL_  Qty or ID	Standard	5	0.0281	34.90	3.00e+001	0.971	-3.620	
F1	06_std1E0_3uL_  Qty or ID	Standard	6	0.0281	43.00	3.00e+000	0.971	-3.620	
F2	06_std1E0_3uL_  Qty or ID	Standard	6	0.0281	37.45	3.00e+000	0.971	-3.620	
F3	06_std1E0_3uL_  Qty or ID	Standard	6	0.0281	38.25	3.00e+000	0.971	-3.620	
G1	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0281	No Ct	No Ct	0.971	-3.620	
G2	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0281	No Ct	No Ct	0.971	-3.620	
G3	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0281	No Ct	No Ct	0.971	-3.620	
H1	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0281	No Ct	No Ct	0.971	-3.620	
H2	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0281	No Ct	No Ct	0.971	-3.620	
H3	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0281	No Ct	No Ct	0.971	-3.620	
A4	09_MST2022100STEX31_01_3uL_  Qty or ID	Unknown	9	0.0281	No Ct	No Ct	0.971	-3.620	
A5	09_MST2022100STEX31_01_3uL_  Qty or ID	Unknown	9	0.0281	No Ct	No Ct	0.971	-3.620	
A6	09_MST2022100STEX31_01_3uL_  Qty or ID	Unknown	9	0.0281	No Ct	No Ct	0.971	-3.620	
B4	10_MST2023051STEX31_04_3uL_  Qty or ID	Unknown	10	0.0281	No Ct	No Ct	0.971	-3.620	
B5	10_MST2023051STEX31_04_3uL_  Qty or ID	Unknown	10	0.0281	No Ct	No Ct	0.971	-3.620	
B6	10_MST2023051STEX31_04_3uL_  Qty or ID	Unknown	10	0.0281	No Ct	No Ct	0.971	-3.620	
C4	11_MST2023034STEX31_05_3uL_  Qty or ID	Unknown	11	0.0281	No Ct	No Ct	0.971	-3.620	
C5	11_MST2023034STEX31_05_3uL_  Qty or ID	Unknown	11	0.0281	No Ct	No Ct	0.971	-3.620	
C6	11_MST2023034STEX31_05_3uL_  Qty or ID	Unknown	11	0.0281	No Ct	No Ct	0.971	-3.620	
D4	12_MST2023061STEX31_06_3uL_  Qty or ID	Unknown	12	0.0281	No Ct	No Ct	0.971	-3.620	
D5	12_MST2023061STEX31_06_3uL_  Qty or ID	Unknown	12	0.0281	No Ct	No Ct	0.971	-3.620	
D6	12_MST2023061STEX31_06_3uL_  Qty or ID	Unknown	12	0.0281	No Ct	No Ct	0.971	-3.620	
E4	13_MST2023076STEX31_07_3uL_  Qty or ID	Unknown	13	0.0281	No Ct	No Ct	0.971	-3.620	
E5	13_MST2023076STEX31_07_3uL_  Qty or ID	Unknown	13	0.0281	No Ct	No Ct	0.971	-3.620	
E6	13_MST2023076STEX31_07_3uL_  Qty or ID	Unknown	13	0.0281	No Ct	No Ct	0.971	-3.620	
F4	14_MST2022103STEX31_09_3uL_  Qty or ID	Unknown	14	0.0281	No Ct	No Ct	0.971	-3.620	
F5	14_MST2022103STEX31_09_3uL_  Qty or ID	Unknown	14	0.0281	No Ct	No Ct	0.971	-3.620	
F6	14_MST2022103STEX31_09_3uL_  Qty or ID	Unknown	14	0.0281	No Ct	No Ct	0.971	-3.620	
G4	15_MST2023064STEX31_12_3uL_  Qty or ID	Unknown	15	0.0281	No Ct	No Ct	0.971	-3.620	
G5	15_MST2023064STEX31_12_3uL_  Qty or ID	Unknown	15	0.0281	No Ct	No Ct	0.971	-3.620	
G6	15_MST2023064STEX31_12_3uL_  Qty or ID	Unknown	15	0.0281	No Ct	No Ct	0.971	-3.620	
H4	16_MST2023009STEX31_15_3uL_  Qty or ID	Unknown	16	0.0281	No Ct	No Ct	0.971	-3.620	
H5	16_MST2023009STEX31_15_3uL_  Qty or ID	Unknown	16	0.0281	No Ct	No Ct	0.971	-3.620	
H6	16_MST2023009STEX31_15_3uL_  Qty or ID	Unknown	16	0.0281	No Ct	No Ct	0.971	-3.620	
A7	17_MST2022089STEX31_17_3uL_  Qty or ID	Unknown	17	0.0281	No Ct	No Ct	0.971	-3.620	
A8	17_MST2022089STEX31_17_3uL_  Qty or ID	Unknown	17	0.0281	No Ct	No Ct	0.971	-3.620	
A9	17_MST2022089STEX31_17_3uL_  Qty or ID	Unknown	17	0.0281	No Ct	No Ct	0.971	-3.620	
B7	18_MST2023086STEX31_19_3uL_  Qty or ID	Unknown	18	0.0281	No Ct	No Ct	0.971	-3.620	
B8	18_MST2023086STEX31_19_3uL_  Qty or ID	Unknown	18	0.0281	No Ct	No Ct	0.971	-3.620	
B9	18_MST2023086STEX31_19_3uL_  Qty or ID	Unknown	18	0.0281	No Ct	No Ct	0.971	-3.620	
C7	19_MST2022077STEX31_22_3uL_  Qty or ID	Unknown	19	0.0281	No Ct	No Ct	0.971	-3.620	
C8	19_MST2022077STEX31_22_3uL_  Qty or ID	Unknown	19	0.0281	No Ct	No Ct	0.971	-3.620	
C9	19_MST2022077STEX31_22_3uL_  Qty or ID	Unknown	19	0.0281	No Ct	No Ct	0.971	-3.620	
D7	20_MST2023001STEX32_01_3uL_  Qty or ID	Unknown	20	0.0281	No Ct	No Ct	0.971	-3.620	
D8	20_MST2023001STEX32_01_3uL_  Qty or ID	Unknown	20	0.0281	No Ct	No Ct	0.971	-3.620	
D9	20_MST2023001STEX32_01_3uL_  Qty or ID	Unknown	20	0.0281	No Ct	No Ct	0.971	-3.620	
E7	21_MST2022052STEX32_04_3uL_  Qty or ID	Unknown	21	0.0281	No Ct	No Ct	0.971	-3.620	
E8	21_MST2022052STEX32_04_3uL_  Qty or ID	Unknown	21	0.0281	No Ct	No Ct	0.971	-3.620	
E9	21_MST2022052STEX32_04_3uL_  Qty or ID	Unknown	21	0.0281	No Ct	No Ct	0.971	-3.620	
F7	22_MST2023015STEX32_16_3uL_  Qty or ID	Unknown	22	0.0281	No Ct	No Ct	0.971	-3.620	
F8	22_MST2023015STEX32_16_3uL_  Qty or ID	Unknown	22	0.0281	No Ct	No Ct	0.971	-3.620	
F9	22_MST2023015STEX32_16_3uL_  Qty or ID	Unknown	22	0.0281	No Ct	No Ct	0.971	-3.620	
G7	23_MST2022094STEX32_07_3uL_  Qty or ID	Unknown	23	0.0281	No Ct	No Ct	0.971	-3.620	
G8	23_MST2022094STEX32_07_3uL_  Qty or ID	Unknown	23	0.0281	No Ct	No Ct	0.971	-3.620	
G9	23_MST2022094STEX32_07_3uL_  Qty or ID	Unknown	23	0.0281	No Ct	No Ct	0.971	-3.620	
H7	24_MST2023114STEX32_11_3uL_  Qty or ID	Unknown	24	0.0281	No Ct	No Ct	0.971	-3.620	
H8	24_MST2023114STEX32_11_3uL_  Qty or ID	Unknown	24	0.0281	No Ct	No Ct	0.971	-3.620	
H9	24_MST2023114STEX32_11_3uL_  Qty or ID	Unknown	24	0.0281	No Ct	No Ct	0.971	-3.620	
A10	25_MST2023016STEX32_12_3uL_  Qty or ID	Unknown	25	0.0281	No Ct	No Ct	0.971	-3.620	
A11	25_MST2023016STEX32_12_3uL_  Qty or ID	Unknown	25	0.0281	No Ct	No Ct	0.971	-3.620	
A12	25_MST2023016STEX32_12_3uL_  Qty or ID	Unknown	25	0.0281	No Ct	No Ct	0.971	-3.620	
B10	26_MST2022097STEX32_14_3uL_  Qty or ID	Unknown	26	0.0281	No Ct	No Ct	0.971	-3.620	
B11	26_MST2022097STEX32_14_3uL_  Qty or ID	Unknown	26	0.0281	No Ct	No Ct	0.971	-3.620	
B12	26_MST2022097STEX32_14_3uL_  Qty or ID	Unknown	26	0.0281	No Ct	No Ct	0.971	-3.620	
C10	27_MST2023118STEX32_18_3uL_  Qty or ID	Unknown	27	0.0281	No Ct	No Ct	0.971	-3.620	
C11	27_MST2023118STEX32_18_3uL_  Qty or ID	Unknown	27	0.0281	No Ct	No Ct	0.971	-3.620	
C12	27_MST2023118STEX32_18_3uL_  Qty or ID	Unknown	27	0.0281	No Ct	No Ct	0.971	-3.620	
D10	28_MST2023066STEX32_21_3uL_  Qty or ID	Unknown	28	0.0281	No Ct	No Ct	0.971	-3.620	
D11	28_MST2023066STEX32_21_3uL_  Qty or ID	Unknown	28	0.0281	No Ct	No Ct	0.971	-3.620	
