"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"1","MST174","NisFlinkSoerensen","LivII","Fyn","2019-06-04","fyn6300043",54.9977527777778,10.1669472222222,34,1,1300,"ja","11","2019-06-04","14.36","ja","ja","fytoplankton","ja","ja","Vandprøvenummer (unikt nummer) (U_Pr_Nr) rettet til MST-174 (rettet fra MST-175) / lapjo","54*59'8651","54DEGR_59MINUT_51.91SECONDS","010*09'6101","010DEGR_09MINUT_61.01SECONDS","06:07","06:18","06:28",NA
"2","MST178","NisFlinkSoerensen","LivII","Fyn","2019-06-04","fyn6300043",54.9977527777778,10.1669472222222,34,1,1100,"ja","11","2019-06-04","14.36","ja","ja","fytoplankton","ja","ja",NA,"54*59'8651","54DEGR_59MINUT_51.91SECONDS","010*09'6101","010DEGR_09MINUT_61.01SECONDS","06:07","06:33","06:48",NA
"3","MST177","NisFlinkSoerensen","LivII","Fyn","2019-06-04","fyn6300043",54.9977527777778,10.1669472222222,34,1,1300,"ja","11","2019-06-04","14.36","ja","ja","fytoplankton","ja","ja",NA,"54*59'8651","54DEGR_59MINUT_51.91SECONDS","010*09'6101","010DEGR_09MINUT_61.01SECONDS","06:07","06:56","07:06",NA
"4","MST260","JAROB_20629477","LIVII","Fyn","2019-03-07","6500351_DSoe",55.0256666666667,10.4172694444444,14.3,13.2,1100,"nej","na","2019-03-14","5.24","ja","ja","Bundfauna","ja","ja",NA,"5501.54","55DEGR_01MINUT_32.4SECONDS","1025.217","010DEGR_25MINUT_2.17SECONDS","07:00","07:18","NA","lagt i fryser efter filtrering"
"5","MST293","JAROB_20629477","LIVII","Fyn","2019-03-07","6500351_DSoe",55.0256666666667,10.4172694444444,14.3,13.2,1320,"nej","na","2019-03-14","5.24","ja","ja","Bundfauna","ja","ja",NA,"5501.54","55DEGR_01MINUT_32.4SECONDS","1025.217","010DEGR_25MINUT_2.17SECONDS","07:00","07:38","NA","lagt i fryser efter filtrering"
"6","MST266","JAROB_20629477","LIVII","Fyn","2019-03-07","6500351_DSoe",55.0256666666667,10.4172694444444,14.3,13.2,1300,"nej","na","2019-03-14","5.24","ja","ja","Bundfauna","ja","ja",NA,"5501.54","55DEGR_01MINUT_32.4SECONDS","1025.217","010DEGR_25MINUT_2.17SECONDS","07:00","07:58","NA","lagt i fryser efter filtrering"
"7","MST464","JAROBjaneRobertsen","LIVII","MST_oeST","2019-09-05","ARH170006",56.1545944444444,10.3222166666667,16.6,1,1600,"ja","9",NA,"17.03","ja","ja","fytoplankton","ja","ja",NA,"56 09,2757","56DEGR_09MINUT_16.54SECONDS","010 19,1998","010DEGR_19MINUT_19.98SECONDS","08:01","08:20","NA","Umiddelbart efter filtrering"
"8","MST482","JAROBjaneRobertsen","LIVII","MST_oeST","2019-09-05","ARH170006",56.1545944444444,10.3222166666667,16.6,1,1700,"ja","9","","17.03","ja","ja","fytoplankton","ja","ja",NA,"56 09,2757","56DEGR_09MINUT_16.54SECONDS","010 19,1998","010DEGR_19MINUT_19.98SECONDS","08:01","08:31","NA","umiddebart efter filtrering"
"9","MST519","JAROBjaneRobertsen","LIVII","MST_oeST","2019-09-05","ARH170006",56.1545944444444,10.3222166666667,16.6,1,1700,"ja","9","","17.03","ja","ja","fytoplankton","ja","ja",NA,"56 09,2757","56DEGR_09MINUT_16.54SECONDS","010 19,1998","010DEGR_19MINUT_19.98SECONDS","08:01","08:48","NA","Umiddelbart efter filtrering"
"10","MST179","JAROB_20629477","LIVII","MSToeST","2019-06-11","ARH170006",56.1547194444444,10.3194083333333,16,1,1100,"ja","8","2019-06-11","15.5","ja","ja","Fytoplankton","ja","ja",NA,"56 09,2831","56DEGR_09MINUT_16.99SECONDS","010 19,0987","010DEGR_19MINUT_9.87SECONDS","10:05","10:27","NA","lagt i fryser efter filtrering"
