"MST.nummer";"Unikt.prøvesæt.nummer";"Noter.på.plastic.posen";"Konc.målt.på.Qubit._ng.uL";"Dato.for.ekstraktion";"Ekstraktionsnummer";"Noter2";"Elueringvolumen.AE.buffer.uL";"Sub_Nmb_for_extraction";"Dato_for_indsml";"X.Noter2";"U_Pr_Nr";"MSTno_di";"wdt"
"3";"MST";"20170919-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2017-09-19";NA;"MST";"MST::2017-09-19";FALSE
"4";"MST";"20170919-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2017-09-19";NA;"MST";"MST::2017-09-19";FALSE
"5";"MST";"20170919-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2017-09-19";NA;"MST";"MST::2017-09-19";FALSE
"6";"MST0003";"20170830-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"1";"2017-08-30";NA;"MST0003";"MST0003::2017-08-30";FALSE
"601";"MST0011";"11";NA;"6.9";"'2023-jan24";"MST-SX26";NA;"400";"26_11";"2022-03-08";NA;"MST0011";"MST0011::2022-03-08";FALSE
"7";"MST0012";"20170829-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"2";"2017-08-29";NA;"MST0012";"MST0012::2017-08-29";FALSE
"8";"MST0014";"20170830-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2017-08-30";NA;"MST0014";"MST0014::2017-08-30";FALSE
"9";"MST0015";"20170829-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2017-08-29";NA;"MST0015";"MST0015::2017-08-29";FALSE
"10";"MST0017";"20170829-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2017-08-29";NA;"MST0017";"MST0017::2017-08-29";FALSE
"595";"MST0018";"5";NA;"0";"'2023-jan24";"MST-SX26";NA;"400";"26_05";"2022-03-08";NA;"MST0018";"MST0018::2022-03-08";FALSE
"11";"MST0019";"20170912-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"3";"2017-09-12";NA;"MST0019";"MST0019::2017-09-12";FALSE
"12";"MST0020";"20170912-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2017-09-12";NA;"MST0020";"MST0020::2017-09-12";FALSE
"13";"MST0021";"20170912-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2017-09-12";NA;"MST0021";"MST0021::2017-09-12";FALSE
"14";"MST0028";"20170925-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2017-09-25";NA;"MST0028";"MST0028::2017-09-25";FALSE
"15";"MST0029";"20170925-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No2";"350";NA;"2017-09-25";NA;"MST0029";"MST0029::2017-09-25";FALSE
"16";"MST0030";"20170920-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2017-09-20";NA;"MST0030";"MST0030::2017-09-20";FALSE
"17";"MST0031";"20170920-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2017-09-20";NA;"MST0031";"MST0031::2017-09-20";FALSE
"18";"MST0032";"20170920-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-09-20";NA;"MST0032";"MST0032::2017-09-20";FALSE
"19";"MST0033";"20170925-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2017-09-25";NA;"MST0033";"MST0033::2017-09-25";FALSE
"20";"MST0036";"20171009-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2017-10-09";NA;"MST0036";"MST0036::2017-10-09";FALSE
"21";"MST0039";"20171019-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2017-10-19";NA;"MST0039";"MST0039::2017-10-19";FALSE
"22";"MST0040";"20171019-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2017-10-19";NA;"MST0040";"MST0040::2017-10-19";FALSE
"23";"MST0041";"20171019-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-10-19";NA;"MST0041";"MST0041::2017-10-19";FALSE
"397";"MST0042";"1";NA;"25.5";"2020-nov-17";"MST-SX16";NA;"350";"16_01";"#N/A-NA-#N/A";NA;"MST0042";"MST0042::#N/A-NA-#N/A";FALSE
"24";"MST0044";"20170918-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2017-09-18";NA;"MST0044";"MST0044::2017-09-18";FALSE
"25";"MST0045";"20170918-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2017-09-18";NA;"MST0045";"MST0045::2017-09-18";FALSE
"26";"MST0046";"20170918-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-09-18";NA;"MST0046";"MST0046::2017-09-18";FALSE
"27";"MST0047";"20180523-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No1";"350";NA;"2018-05-23";NA;"MST0047";"MST0047::2018-05-23";FALSE
"28";"MST0048";"20171009-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"8";"2017-10-09";NA;"MST0048";"MST0048::2017-10-09";FALSE
"29";"MST0049";"20171009-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2017-10-09";NA;"MST0049";"MST0049::2017-10-09";FALSE
"30";"MST0050";"20180425-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2018-04-25";NA;"MST0050";"MST0050::2018-04-25";FALSE
"31";"MST0051";"20180321-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-03-21";NA;"MST0051";"MST0051::2018-03-21";FALSE
"32";"MST0052";"20180503-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-05-03";NA;"MST0052";"MST0052::2018-05-03";FALSE
"298";"MST0054";"1";NA;"6.1";"2020-sep-15";"MST-SX11";NA;"350";"11_01";"#N/A-NA-#N/A";NA;"MST0054";"MST0054::#N/A-NA-#N/A";FALSE
"33";"MST0055";"20180424-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";NA;"2018-04-24";NA;"MST0055";"MST0055::2018-04-24";FALSE
"34";"MST0055";"20180424-2";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No1";"350";NA;"2018-04-24";NA;"MST0055";"MST0055::2018-04-24";FALSE
"299";"MST0056";"2";NA;"1.31";"2020-sep-15";"MST-SX11";NA;"350";"11_02";"#N/A-NA-#N/A";NA;"MST0056";"MST0056::#N/A-NA-#N/A";FALSE
"35";"MST0057";"20180405-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-04-05";NA;"MST0057";"MST0057::2018-04-05";FALSE
"36";"MST0058";"20180405-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-04-05";NA;"MST0058";"MST0058::2018-04-05";FALSE
"37";"MST0059";"20180405-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No3";"350";NA;"2018-04-05";NA;"MST0059";"MST0059::2018-04-05";FALSE
"38";"MST0060";"20180607-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-06-07";NA;"MST0060";"MST0060::2018-06-07";FALSE
"39";"MST0061";"20180528-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No3";"350";NA;"2018-05-28";NA;"MST0061";"MST0061::2018-05-28";FALSE
"40";"MST0062";"20180416-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-04-16";NA;"MST0062";"MST0062::2018-04-16";FALSE
"41";"MST0063";"20180503-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No3";"350";NA;"2018-05-03";NA;"MST0063";"MST0063::2018-05-03";FALSE
"42";"MST0064";"20180416-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2018-04-16";NA;"MST0064";"MST0064::2018-04-16";FALSE
"43";"MST0065";"20180514-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-05-14";NA;"MST0065";"MST0065::2018-05-14";FALSE
"44";"MST0066";"20180514-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-05-14";NA;"MST0066";"MST0066::2018-05-14";FALSE
"45";"MST0067";"20180321-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"12";"2018-03-21";NA;"MST0067";"MST0067::2018-03-21";FALSE
"46";"MST0068";"20180416-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-04-16";NA;"MST0068";"MST0068::2018-04-16";FALSE
"47";"MST0069";"20180523-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-05-23";NA;"MST0069";"MST0069::2018-05-23";FALSE
"48";"MST0070";"20180515-2";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No1";"350";NA;"2018-05-15";NA;"MST0070";"MST0070::2018-05-15";FALSE
"49";"MST0071";"20180611-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-06-11";NA;"MST0071";"MST0071::2018-06-11";FALSE
"50";"MST0072";"20180425-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-04-25";NA;"MST0072";"MST0072::2018-04-25";FALSE
"51";"MST0073";"20180611-2";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-06-11";NA;"MST0073";"MST0073::2018-06-11";FALSE
"52";"MST0074";"20180611-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-06-11";NA;"MST0074";"MST0074::2018-06-11";FALSE
"53";"MST0075";"20180607-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-06-07";NA;"MST0075";"MST0075::2018-06-07";FALSE
"54";"MST0076";"20180606-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-06-06";NA;"MST0076";"MST0076::2018-06-06";FALSE
"55";"MST0077";"20180515-2";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-05-15";NA;"MST0077";"MST0077::2018-05-15";FALSE
"56";"MST0078";"20180424-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-04-24";NA;"MST0078";"MST0078::2018-04-24";FALSE
"57";"MST0078";"20180424-2";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No3";"350";NA;"2018-04-24";NA;"MST0078";"MST0078::2018-04-24";FALSE
"58";"MST0079";"20180424-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-04-24";NA;"MST0079";"MST0079::2018-04-24";FALSE
"59";"MST0079";"20180424-2";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No2";"350";NA;"2018-04-24";NA;"MST0079";"MST0079::2018-04-24";FALSE
"60";"MST0080";"20180514-2";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-05-14";NA;"MST0080";"MST0080::2018-05-14";FALSE
"61";"MST0081";"20180321-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-03-21";NA;"MST0081";"MST0081::2018-03-21";FALSE
"266";"MST0082";"1";NA;"2.64";"2020-sep-08";"MST-SX10";NA;"350";"10_01";"#N/A-NA-#N/A";NA;"MST0082";"MST0082::#N/A-NA-#N/A";FALSE
"62";"MST0083";"20180503-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-05-03";NA;"MST0083";"MST0083::2018-05-03";FALSE
"63";"MST0084";"20180425-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-04-25";NA;"MST0084";"MST0084::2018-04-25";FALSE
"64";"MST0085";"20180515-2";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-05-15";NA;"MST0085";"MST0085::2018-05-15";FALSE
"65";"MST0086";"20180606-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-06-06";NA;"MST0086";"MST0086::2018-06-06";FALSE
"66";"MST0087";"20180611-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-06-11";NA;"MST0087";"MST0087::2018-06-11";FALSE
"67";"MST0088";"20180607-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-06-07";NA;"MST0088";"MST0088::2018-06-07";FALSE
"456";"MST0090";"1";NA;"2.87";"2021-mar-05";"MST-SX19";NA;"350";"19_01";"#N/A-NA-#N/A";NA;"MST0090";"MST0090::#N/A-NA-#N/A";FALSE
"68";"MST0090";"20180606-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-06-06";NA;"MST0090";"MST0090::2018-06-06";FALSE
"69";"MST0091";"20180523-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-05-23";NA;"MST0091";"MST0091::2018-05-23";FALSE
"70";"MST0092";"20180515-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No1";"350";NA;"2018-05-15";NA;"MST0092";"MST0092::2018-05-15";FALSE
"71";"MST0093";"20180514-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-05-14";NA;"MST0093";"MST0093::2018-05-14";FALSE
"457";"MST0095";"2";NA;"2.16";"2021-mar-05";"MST-SX19";NA;"350";"19_02";"#N/A-NA-#N/A";NA;"MST0095";"MST0095::#N/A-NA-#N/A";FALSE
"72";"MST0095";"20180918-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-09-18";NA;"MST0095";"MST0095::2018-09-18";FALSE
"267";"MST0096";"2";NA;"1.86";"2020-sep-08";"MST-SX10";NA;"350";"10_02";"#N/A-NA-#N/A";NA;"MST0096";"MST0096::#N/A-NA-#N/A";FALSE
"73";"MST0097";"20180418-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";NA;"2018-04-18";NA;"MST0097";"MST0097::2018-04-18";FALSE
"74";"MST0098";"20180418-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-04-18";NA;"MST0098";"MST0098::2018-04-18";FALSE
"75";"MST0099";"20180418-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-04-18";NA;"MST0099";"MST0099::2018-04-18";FALSE
"76";"MST0100";"20180514-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No2";"350";NA;"2018-05-14";NA;"MST0100";"MST0100::2018-05-14";FALSE
"77";"MST0101";"20180515-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-05-15";NA;"MST0101";"MST0101::2018-05-15";FALSE
"78";"MST0104";"20180706-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-07-06";NA;"MST0104";"MST0104::2018-07-06";FALSE
"458";"MST0105";"3";NA;"1.16";"2021-mar-05";"MST-SX19";NA;"350";"19_03";"#N/A-NA-#N/A";NA;"MST0105";"MST0105::#N/A-NA-#N/A";FALSE
"79";"MST0105";"20181010-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-10-10";NA;"MST0105";"MST0105::2018-10-10";FALSE
"80";"MST0106";"20181010-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-10-10";NA;"MST0106";"MST0106::2018-10-10";FALSE
"81";"MST0107";"20180706-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No1";"350";NA;"2018-07-06";NA;"MST0107";"MST0107::2018-07-06";FALSE
"82";"MST0109";"20180925-1";NA;"notmeasured";"'2018dec04";"MST-SX04";"MST_No2";"350";NA;"2018-09-25";NA;"MST0109";"MST0109::2018-09-25";FALSE
