"","genus_species_aar","MST0109_2018-09-25","MST0110_2018-10-10","MST0128_2018-08-07","MST0141_2018-08-16","MST0194_2018-09-04","MST0197_2018-09-03","MST0211_2018-09-25","MST0218_2018-09-19","MST0220_2018-08-30","MST0221_2018-08-29","MST0227_2018-08-29","MST0231_2018-08-17","MST0235_2018-08-31","MST0237_2018-09-10","MST0242_2018-09-18","MST0243_2018-09-04","MST0244_2018-08-28","MST0257_2018-08-23"
"567","Acipenser baerii_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"568","Bonnemaisonia hamifera_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"569","Carassius auratus_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"570","Colpomenia peregrine_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"571","Cordylophora caspia_2018","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"572","Crassostrea gigas_2018","'3/0/0/0'","'3/0/0/0'","'0/0/3/0'","'1/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'1/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"573","Cyprinus carpio_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"574","Eriocheir sinensis_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"575","Homarus americanus_2018","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
"576","Karenia mikimotoi_2018","'3/0/0/0'","'3/0/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'0/3/0/0'","'2/1/0/0'","'2/1/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'","'3/0/0/0'"
