"MST.nummer";"dato indsamlet";"lokalitet_vanda";"volumen vand filtreret (mL)";"breddegrad";"længdegrad"
"MST0012_2017-08-29";"2017-08-29";93000001;"1100";56.1322;11.1579
"MST0003_2017-08-30";"2017-08-30";99000052;"1500";54.9996;13.2999
"MST0121_2017-09-05";"2017-09-05";91500007;"1450";55.3375;8.3507
"MST0019_2017-09-12";"2017-09-12";93740007;"710";56.6222;9.0758
"MST0046_2017-09-18";"2017-09-18";97200002;"1500";55.8623;12.7503
"MST0118_2017-09-19";"2017-09-19";91320001;"1150";56.0762;8.2243
"MST0032_2017-09-20";"2017-09-20";94300001;"800";55.6744;10.0904
"MST0029_2017-09-25";"2017-09-25";95600002;"1400";54.9977;10.1603
"MST0048_2017-10-09";"2017-10-09";94230001;"1100";55.4678;10.5169
"MST0131_2017-10-10";"2017-10-10";92200001;"1350";57.6078;9.9153
"MST0041_2017-10-19";"2017-10-19";99000049;"1450";55.25;55.25
"MST0067_2018-03-21";"2018-03-21";95700008;"1000";54.8421;9.8194
"MST0284_2018-04-03";"2018-04-03";93210013;"1500";55.8675;11.7878
"MST0059_2018-04-05";"2018-04-05";95130028;"950";55.7033;9.6683
"MST0064_2018-04-16";"2018-04-16";93500119;"1100";56.6256;10.5904
"MST0097_2018-04-18";"2018-04-18";95220322;"1500";55.139;11.5158
"MST0055_2018-04-24";"2018-04-24";96510125;"1200";55.0274;10.3776
"MST0050_2018-04-25";"2018-04-25";93770056;"400";56.6008;8.4148
"MST0063_2018-05-03";"2018-05-03";96700057;"1750";55.4403;10.8039
"MST0100_2018-05-14";"2018-05-14";97200002;"1500";55.8658;12.7492
"MST0080_2018-05-14";"2018-05-14";95600002;"1525";54.9978;10.1608
"MST0070_2018-05-15";"2018-05-15";94400007;"1500";56.1549;10.3183
"MST0092_2018-05-15";"2018-05-15";93000001;"1500";56.1313;11.1578
"MST0115_2018-05-15";"2018-05-15";91320001;"600";56.0762;8.2243
"MST0286_2018-05-15";"2018-05-15";91500007;"1500";55.3388;8.3494
"MST0229_2018-05-16";"2018-05-16";94300001;"ukendt";55.6741;10.0904
"MST0047_2018-05-23";"2018-05-23";99000052;"1500";55.0158;13.2967
"MST0126_2018-05-25";"2018-05-25";91650035;"300";55.0933;8.5683
"MST0061_2018-05-28";"2018-05-28";94510035;"1100";56.184;10.5914
"MST0223_2018-05-29";"2018-05-29";99000049;"1200";55.25;15.9833
"MST0152_2018-06-04";"2018-06-04";94230001;"900";55.4782;10.5182
"MST0076_2018-06-06";"2018-06-06";93730002;"1100";56.9567;9.0623
"MST0088_2018-06-07";"2018-06-07";93740007;"500";56.6208;9.0748
"MST0071_2018-06-11";"2018-06-11";93000005;"1800";56.8567;10.7917
"MST0074_2018-06-11";"2018-06-11";93610032;"1610";56.659;9.9733
"MST0132_2018-06-27";"2018-06-27";93920064;"1600";57.5408;10.4793
"MST0230_2018-06-27";"2018-06-27";97230016;"1600";55.9682;12.566
"MST0280_2018-06-27";"2018-06-27";93220011;"1500";55.713;12.0667
"MST0107_2018-07-06";"2018-07-06";96220363;"1400";55.1616;11.6584
"MST0128_2018-08-07";"2018-08-07";91500007;"1200";55.3376;8.3506
"MST0141_2018-08-16";"2018-08-16";93220011;"1500";55.713;12.0667
"MST0231_2018-08-17";"2018-08-17";95600002;"1300";54.9975;10.1608
"MST0257_2018-08-23";"2018-08-23";94300001;"1600";55.674;10.0906
"MST0244_2018-08-28";"2018-08-28";95600002;"1500";54.9974;10.1614
"MST0227_2018-08-29";"2018-08-29";93730002;"700";56.954;9.0623
"MST0221_2018-08-29";"2018-08-29";97200002;"1300";55.8658;12.7492
"MST0220_2018-08-30";"2018-08-30";93740007;"900";56.6208;9.0758
"MST0235_2018-08-31";"2018-08-31";99000052;"1500";55.0008;13.2962
"MST0197_2018-09-03";"2018-09-03";93000005;"1500";56.8567;10.7917
"MST0194_2018-09-04";"2018-09-04";93610032;"1500";56.6627;9.974
"MST0243_2018-09-04";"2018-09-04";91320001;"420";56.0762;8.2243
"MST0237_2018-09-10";"2018-09-10";94230001;"1100";55.4783;10.5179
"MST0242_2018-09-18";"2018-09-18";99000049;"1500";55.25;15.9833
"MST0218_2018-09-19";"2018-09-19";94300001;"1600";56.1317;11.1567
"MST0211_2018-09-25";"2018-09-25";94400007;"1600";56.1545;10.319
"MST0109_2018-09-25";"2018-09-25";99210007;"1100";54.7403;12.0998
