AphiaID;url;scientificname;authority;status;unacceptreason;taxonRankID;rank;valid_AphiaID;valid_name;valid_authority;parentNameUsageID;kingdom;phylum;class;order;family;genus;citation;lsid;isMarine;isBrackish;isFreshwater;isTerrestrial;isExtinct;match_type;modified
333744;https://marinespecies.org/aphia.php?p=taxdetails&id=333744;Laetmonice arenifera;(Horst, 1916);accepted;NA;220;Species;333744;Laetmonice arenifera;(Horst, 1916);129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice arenifera (Horst, 1916). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=333744 on 2024-10-23;urn:lsid:marinespecies.org:taxname:333744;1;0;0;0;0;exact;2008-03-26T11:36:43Z
328570;https://marinespecies.org/aphia.php?p=taxdetails&id=328570;Laetmonice batheia;Horst, 1916;accepted;NA;220;Species;328570;Laetmonice batheia;Horst, 1916;129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice batheia Horst, 1916. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=328570 on 2024-10-23;urn:lsid:marinespecies.org:taxname:328570;1;0;0;0;0;exact;2008-03-26T11:36:43Z
333746;https://marinespecies.org/aphia.php?p=taxdetails&id=333746;Laetmonice benthaliana;McIntosh, 1885;accepted;NA;220;Species;333746;Laetmonice benthaliana;McIntosh, 1885;129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice benthaliana McIntosh, 1885. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=333746 on 2024-10-23;urn:lsid:marinespecies.org:taxname:333746;1;0;0;0;0;exact;2008-03-26T11:36:43Z
879787;https://marinespecies.org/aphia.php?p=taxdetails&id=879787;Laetmonice brachyceras;(Haswell, 1883);accepted;NA;220;Species;879787;Laetmonice brachyceras;(Haswell, 1883);129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice brachyceras (Haswell, 1883). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=879787 on 2024-10-23;urn:lsid:marinespecies.org:taxname:879787;1;0;0;0;0;exact;2016-06-11T12:37:00Z
333747;https://marinespecies.org/aphia.php?p=taxdetails&id=333747;Laetmonice brevihastata;(Ehlers, 1918);accepted;NA;220;Species;333747;Laetmonice brevihastata;(Ehlers, 1918);129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice brevihastata (Ehlers, 1918). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=333747 on 2024-10-23;urn:lsid:marinespecies.org:taxname:333747;1;0;0;0;0;exact;2008-03-26T11:36:43Z
729885;https://marinespecies.org/aphia.php?p=taxdetails&id=729885;Laetmonice britannica;McIntosh, 1900;accepted;NA;220;Species;729885;Laetmonice britannica;McIntosh, 1900;129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice britannica McIntosh, 1900. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=729885 on 2024-10-23;urn:lsid:marinespecies.org:taxname:729885;1;NA;NA;NA;0;exact;2017-06-30T00:29:52Z
333748;https://marinespecies.org/aphia.php?p=taxdetails&id=333748;Laetmonice conchifera;(Horst, 1916);accepted;NA;220;Species;333748;Laetmonice conchifera;(Horst, 1916);129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice conchifera (Horst, 1916). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=333748 on 2024-10-23;urn:lsid:marinespecies.org:taxname:333748;1;0;0;0;0;exact;2008-03-26T11:36:43Z
879792;https://marinespecies.org/aphia.php?p=taxdetails&id=879792;Laetmonice dolichoceras;(Haswell, 1883);accepted;NA;220;Species;879792;Laetmonice dolichoceras;(Haswell, 1883);129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice dolichoceras (Haswell, 1883). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=879792 on 2024-10-23;urn:lsid:marinespecies.org:taxname:879792;1;0;0;0;0;exact;2016-06-11T12:37:00Z
328572;https://marinespecies.org/aphia.php?p=taxdetails&id=328572;Laetmonice dubiosa;Horst, 1916;accepted;NA;220;Species;328572;Laetmonice dubiosa;Horst, 1916;129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice dubiosa Horst, 1916. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=328572 on 2024-10-23;urn:lsid:marinespecies.org:taxname:328572;1;0;0;0;0;exact;2008-03-26T11:36:43Z
129844;https://marinespecies.org/aphia.php?p=taxdetails&id=129844;Laetmonice filicornis;Kinberg, 1856;accepted;NA;220;Species;129844;Laetmonice filicornis;Kinberg, 1856;129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice filicornis Kinberg, 1856. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=129844 on 2024-10-23;urn:lsid:marinespecies.org:taxname:129844;1;0;0;0;0;exact;2008-03-26T11:36:43Z
1769452;https://marinespecies.org/aphia.php?p=taxdetails&id=1769452;Laetmonice hutchingsae;Flaxman & Kupriyanova, 2024;accepted;NA;220;Species;1769452;Laetmonice hutchingsae;Flaxman & Kupriyanova, 2024;129196;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Laetmonice;Read, G., Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laetmonice hutchingsae Flaxman & Kupriyanova, 2024. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=1769452 on 2024-10-23;urn:lsid:marinespecies.org:taxname:1769452;1;0;0;0;0;exact;2024-09-08T03:51:06Z
